setpoint[rad],position[rad],velocity[rad/s],acceleration[rad/s^2],current[mA],delta_t [ms]
3.09,3.09,-0.50,nan,-2.69,3.01
3.09,3.09,-0.46,nan,8.07,2.00
3.09,3.09,-0.41,nan,0.00,2.47
3.09,3.09,-0.34,nan,0.00,2.55
3.09,3.09,-0.29,nan,0.00,2.50
3.09,3.09,-0.24,nan,2.69,2.49
3.09,3.09,-0.22,nan,0.00,2.49
3.09,3.09,-0.17,nan,0.00,2.49
3.75,3.09,-0.17,nan,0.00,2.49
3.75,3.09,-0.12,nan,1541.37,2.53
3.75,3.10,-0.10,nan,1398.80,2.50
3.75,3.11,-0.02,nan,828.52,2.47
3.75,3.12,0.02,nan,589.11,2.49
3.75,3.14,0.19,nan,373.91,2.53
3.75,3.16,0.43,nan,228.65,2.68
3.75,3.18,0.62,nan,164.09,2.33
3.75,3.20,0.84,nan,123.74,2.47
3.75,3.21,1.22,nan,86.08,2.50
3.75,3.23,1.51,nan,61.87,2.56
3.75,3.25,1.97,nan,53.80,2.47
3.75,3.27,2.47,nan,40.35,2.81
3.75,3.29,2.83,nan,34.97,2.16
3.75,3.31,3.19,nan,32.28,2.51
3.75,3.33,3.74,nan,37.66,2.51
3.75,3.35,4.10,nan,29.59,2.50
3.75,3.37,4.60,nan,24.21,2.48
3.75,3.39,4.92,nan,32.28,2.50
3.75,3.40,5.32,nan,29.59,2.61
3.75,3.43,5.56,nan,18.83,2.41
3.75,3.45,5.88,nan,26.90,2.48
3.75,3.46,6.07,nan,34.97,2.54
3.75,3.48,6.31,nan,21.52,2.46
3.75,3.50,6.45,nan,26.90,2.48
3.75,3.52,6.64,nan,26.90,2.52
3.75,3.54,6.74,nan,26.90,2.51
3.75,3.56,6.86,nan,24.21,2.51
3.75,3.58,6.95,nan,29.59,2.47
3.75,3.60,7.05,nan,26.90,2.52
3.75,3.62,7.10,nan,21.52,2.48
3.75,3.64,7.17,nan,26.90,2.49
3.75,3.66,7.24,nan,18.83,2.59
3.75,3.67,7.27,nan,18.83,2.52
3.75,3.69,7.31,nan,26.90,2.40
3.75,3.71,7.34,nan,-212.51,2.51
3.75,3.73,7.36,nan,-807.00,2.56
3.75,3.74,7.39,nan,-1137.87,2.47
3.75,3.75,7.39,nan,-1143.25,2.46
3.75,3.76,7.31,nan,-1003.37,2.51
3.75,3.76,7.24,nan,-728.99,2.50
3.75,3.76,7.05,nan,-449.23,2.49
3.75,3.76,6.88,nan,-252.86,2.54
3.75,3.76,6.55,nan,-67.25,2.49
3.41,3.75,6.28,nan,59.18,2.48
3.41,3.75,5.83,nan,-1441.84,2.63
3.41,3.73,5.11,nan,-1000.68,3.53
3.41,3.73,4.89,nan,-836.59,1.39
3.41,3.71,4.46,nan,-540.69,2.44
3.41,3.70,3.72,nan,-352.39,2.51
3.41,3.68,3.19,nan,-247.48,2.51
3.41,3.66,2.33,nan,-172.16,2.52
3.41,3.64,1.75,nan,-118.36,2.56
3.41,3.62,0.89,nan,-96.84,2.41
3.41,3.60,0.34,nan,-86.08,2.51
3.41,3.58,-0.48,nan,-61.87,2.54
3.41,3.56,-1.01,nan,-56.49,2.46
3.41,3.55,-1.80,nan,-59.18,2.51
3.41,3.53,-2.30,nan,-53.80,2.46
3.41,3.51,-3.02,nan,-43.04,2.56
3.41,3.49,-3.45,nan,-48.42,2.46
3.41,3.47,-4.08,nan,-48.42,2.49
3.41,3.45,-4.44,nan,72.63,2.50
3.41,3.43,-4.92,nan,675.19,2.50
3.41,3.42,-5.20,nan,1076.00,2.50
3.41,3.41,-5.54,nan,1226.64,2.51
3.41,3.40,-5.73,nan,1057.17,2.53
3.41,3.40,-5.88,nan,804.31,2.46
3.41,3.40,-5.92,nan,465.37,2.62
3.41,3.40,-5.88,nan,325.49,2.40
3.41,3.40,-5.78,nan,150.64,2.47
3.41,3.40,-5.54,nan,-26.90,2.54
3.41,3.41,-5.35,nan,-129.12,2.51
3.41,3.41,-4.96,nan,-153.33,2.46
3.41,3.41,-4.68,nan,-137.19,2.49
3.41,3.41,-4.20,nan,-129.12,2.50
3.41,3.41,-3.86,nan,-80.70,2.49
3.41,3.41,-3.33,nan,-43.04,2.51
3.41,3.41,-3.00,nan,13.45,2.52
3.41,3.41,-2.49,nan,21.52,2.50
3.41,3.41,-2.18,nan,0.00,2.49
3.41,3.41,-1.77,nan,0.00,2.49
3.41,3.41,-1.53,nan,0.00,2.49
3.41,3.41,-1.25,nan,0.00,2.53
3.41,3.41,-1.08,nan,0.00,2.47
3.41,3.41,-0.86,nan,0.00,2.54
3.41,3.41,-0.77,nan,0.00,2.51
3.41,3.41,-0.62,nan,0.00,2.45
2.61,3.41,-0.55,nan,0.00,2.49
2.61,3.41,-0.48,nan,-1527.92,2.50
2.61,3.40,-0.43,nan,-1414.94,2.50
2.61,3.39,-0.41,nan,-925.36,2.51
2.61,3.37,-0.43,nan,-594.49,2.52
2.61,3.35,-0.55,nan,-392.74,2.41
2.61,3.34,-0.65,nan,-269.00,2.58
2.61,3.32,-0.89,nan,-182.92,2.52
2.61,3.30,-1.08,nan,-129.12,2.47
2.61,3.28,-1.44,nan,-99.53,2.50
2.61,3.26,-1.70,nan,-88.77,2.53
2.61,3.24,-2.13,nan,-64.56,2.57
2.61,3.23,-2.45,nan,-56.49,2.50
2.61,3.21,-2.95,nan,-61.87,2.40
2.61,3.19,-3.31,nan,-53.80,2.50
2.61,3.17,-3.86,nan,-40.35,2.52
2.61,3.15,-4.20,nan,-48.42,2.47
2.61,3.13,-4.68,nan,-37.66,2.55
2.61,3.11,-4.99,nan,-37.66,2.46
2.61,3.09,-5.40,nan,-51.11,2.75
2.61,3.07,-5.73,nan,-37.66,2.27
2.61,3.05,-5.92,nan,-37.66,2.51
2.61,3.03,-6.12,nan,-40.35,2.49
2.61,3.02,-6.35,nan,-48.42,2.47
2.61,3.00,-6.50,nan,-40.35,2.57
2.61,2.98,-6.67,nan,-37.66,2.43
2.61,2.96,-6.79,nan,-45.73,2.49
2.61,2.94,-6.91,nan,-40.35,2.50
2.61,2.92,-7.00,nan,-37.66,2.50
2.61,2.90,-7.10,nan,-45.73,2.51
2.61,2.88,-7.15,nan,-45.73,2.54
2.61,2.85,-7.24,nan,-43.04,3.67
2.61,2.84,-7.29,nan,-48.42,1.53
2.61,2.82,-7.31,nan,-51.11,2.27
2.61,2.80,-7.36,nan,-34.97,2.47
2.61,2.78,-7.41,nan,-37.66,2.53
2.61,2.76,-7.43,nan,-48.42,2.47
2.61,2.74,-7.46,nan,-43.04,3.17
2.61,2.72,-7.48,nan,-34.97,1.86
2.61,2.71,-7.51,nan,-43.04,2.51
2.61,2.69,-7.51,nan,-43.04,2.47
2.61,2.67,-7.53,nan,-34.97,2.50
2.61,2.65,-7.55,nan,306.66,2.79
2.61,2.63,-7.55,nan,782.79,2.20
4.13,2.62,-7.55,nan,1135.18,2.51
4.13,2.61,-7.53,nan,2571.64,2.62
4.13,2.61,-7.43,nan,1942.18,2.43
4.13,2.62,-7.29,nan,1385.35,2.48
4.13,2.63,-7.10,nan,868.87,2.50
4.13,2.65,-6.69,nan,554.14,2.51
4.13,2.67,-6.33,nan,360.46,2.50
4.13,2.68,-5.71,nan,234.03,2.46
4.13,2.70,-5.20,nan,150.64,2.54
4.13,2.72,-4.39,nan,110.29,2.46
4.13,2.74,-3.76,nan,86.08,2.50
4.13,2.76,-2.81,nan,64.56,2.51
4.13,2.77,-2.11,nan,48.42,2.50
4.13,2.79,-1.03,nan,45.73,2.53
4.13,2.81,-0.31,nan,40.35,2.46
4.13,2.83,0.74,nan,26.90,2.53
4.13,2.85,1.41,nan,32.28,2.52
4.13,2.87,2.33,nan,37.66,2.48
4.13,2.89,2.88,nan,26.90,2.48
4.13,2.91,3.62,nan,26.90,2.52
4.13,2.93,4.05,nan,34.97,2.46
4.13,2.95,4.63,nan,26.90,2.50
4.13,2.97,4.96,nan,21.52,2.49
4.13,2.99,5.40,nan,29.59,2.55
4.13,3.01,5.64,nan,26.90,2.44
4.13,3.03,5.97,nan,18.83,2.50
4.13,3.05,6.14,nan,29.59,2.51
4.13,3.06,6.40,nan,32.28,2.57
4.13,3.09,6.59,nan,26.90,2.57
4.13,3.10,6.71,nan,26.90,2.42
4.13,3.12,6.81,nan,32.28,2.49
4.13,3.14,6.95,nan,24.21,2.43
4.13,3.16,7.03,nan,24.21,2.50
4.13,3.18,7.12,nan,32.28,2.52
4.13,3.20,7.17,nan,26.90,2.50
4.13,3.22,7.24,nan,21.52,2.49
4.13,3.24,7.29,nan,29.59,2.54
4.13,3.26,7.34,nan,26.90,2.45
4.13,3.28,7.36,nan,21.52,2.51
4.13,3.30,7.41,nan,26.90,2.48
4.13,3.32,7.43,nan,24.21,3.49
4.13,3.33,7.46,nan,18.83,1.52
4.13,3.35,7.46,nan,24.21,2.50
4.13,3.37,7.48,nan,32.28,2.55
3.71,3.39,7.51,nan,26.90,2.47
3.71,3.41,7.51,nan,-164.09,2.51
3.71,3.43,7.53,nan,104.91,2.47
3.71,3.45,7.53,nan,86.08,3.11
3.71,3.47,7.53,nan,67.25,1.91
3.71,3.49,7.53,nan,53.80,2.51
3.71,3.51,7.51,nan,51.11,2.46
3.71,3.52,7.51,nan,40.35,2.50
3.71,3.54,7.51,nan,29.59,2.51
3.71,3.56,7.51,nan,34.97,2.50
3.71,3.58,7.48,nan,34.97,2.50
3.71,3.60,7.48,nan,24.21,2.51
3.71,3.62,7.48,nan,29.59,2.50
3.71,3.64,7.48,nan,34.97,2.53
3.71,3.66,7.48,nan,21.52,2.49
3.71,3.68,7.48,nan,-360.46,2.53
3.71,3.69,7.48,nan,-885.01,2.47
3.71,3.71,7.46,nan,-1172.84,2.50
3.71,3.72,7.43,nan,-1137.87,2.47
3.71,3.72,7.36,nan,-960.33,2.54
3.71,3.72,7.27,nan,-661.74,2.46
3.71,3.72,7.05,nan,-422.33,2.50
3.71,3.72,6.86,nan,-209.82,2.50
3.71,3.72,6.50,nan,-45.73,2.53
3.71,3.71,6.24,nan,80.70,2.48
3.71,3.71,5.76,nan,134.50,2.54
3.71,3.71,5.42,nan,142.57,2.46
3.71,3.71,4.89,nan,86.08,2.52
3.71,3.71,4.51,nan,112.98,2.46
3.71,3.71,3.91,nan,56.49,2.52
3.71,3.71,3.53,nan,48.42,2.51
3.71,3.71,2.95,nan,24.21,2.52
3.71,3.71,2.61,nan,-34.97,2.49
3.71,3.71,2.13,nan,-32.28,2.47
3.71,3.71,1.85,nan,-18.83,2.50
3.71,3.71,1.51,nan,-13.45,2.53
3.71,3.71,1.22,nan,-8.07,2.63
3.71,3.71,1.06,nan,-2.69,2.35
3.71,3.71,0.86,nan,-2.69,3.32
3.71,3.71,0.77,nan,-2.69,1.66
3.71,3.71,0.67,nan,-2.69,2.54
3.71,3.71,0.58,nan,-2.69,2.47
3.71,3.71,0.50,nan,-2.69,2.51
3.71,3.71,0.43,nan,-2.69,2.49
2.90,3.71,0.38,nan,-2.69,2.49
2.90,3.71,0.31,nan,-1530.61,2.52
2.90,3.70,0.26,nan,-1409.56,2.50
2.90,3.69,0.17,nan,-944.19,2.47
2.90,3.67,0.10,nan,-607.94,2.50
2.90,3.65,-0.17,nan,-328.18,3.64
2.90,3.64,-0.24,nan,-255.55,1.36
2.90,3.62,-0.53,nan,-180.23,2.50
2.90,3.61,-0.77,nan,-142.57,2.51
2.90,3.59,-1.15,nan,-107.60,2.50
2.90,3.57,-1.44,nan,-78.01,2.50
2.90,3.55,-1.92,nan,-67.25,2.53
2.90,3.53,-2.25,nan,-64.56,2.50
2.90,3.51,-2.78,nan,-51.11,2.46
2.90,3.49,-3.14,nan,-45.73,2.49
2.90,3.47,-3.72,nan,-53.80,2.50
2.90,3.45,-4.08,nan,-40.35,2.53
2.90,3.43,-4.58,nan,-40.35,2.47
2.90,3.41,-4.87,nan,-45.73,2.50
2.90,3.39,-5.30,nan,-37.66,2.82
2.90,3.38,-5.54,nan,-34.97,2.18
2.90,3.35,-5.85,nan,-43.04,2.50
2.90,3.34,-6.04,nan,-48.42,2.50
2.90,3.32,-6.28,nan,-34.97,2.54
2.90,3.30,-6.43,nan,-43.04,2.46
2.90,3.28,-6.62,nan,-53.80,2.56
2.90,3.26,-6.71,nan,-34.97,2.60
2.90,3.24,-6.86,nan,-37.66,2.34
2.90,3.22,-6.95,nan,-45.73,2.53
2.90,3.20,-7.05,nan,-37.66,2.50
2.90,3.18,-7.12,nan,-40.35,2.46
2.90,3.16,-7.19,nan,-45.73,2.50
2.90,3.12,-7.29,nan,-40.35,3.33
2.90,3.11,-7.31,nan,-34.97,3.35
2.90,3.10,-7.34,nan,-43.04,0.99
2.90,3.09,-7.36,nan,-43.04,2.38
2.90,3.07,-7.41,nan,-34.97,2.45
2.90,3.05,-7.43,nan,-40.35,2.58
2.90,3.03,-7.46,nan,-48.42,2.46
2.90,3.01,-7.48,nan,-37.66,2.46
2.90,2.99,-7.48,nan,-37.66,2.51
2.90,2.97,-7.51,nan,-43.04,2.52
2.90,2.95,-7.53,nan,-10.76,2.49
2.90,2.93,-7.53,nan,473.44,2.51
3.62,2.92,-7.55,nan,965.71,2.46
3.62,2.91,-7.53,nan,2819.12,2.82
3.62,2.91,-7.48,nan,2326.85,2.12
3.62,2.92,-7.34,nan,1514.47,2.56
3.62,2.93,-7.17,nan,946.88,2.49
3.62,2.94,-6.79,nan,597.18,2.54
3.62,2.96,-6.47,nan,387.36,2.47
3.62,2.97,-5.85,nan,258.24,2.53
3.62,2.99,-5.40,nan,169.47,2.50
3.62,3.01,-4.58,nan,112.98,2.50
3.62,3.03,-4.00,nan,86.08,2.50
3.62,3.05,-3.05,nan,72.63,2.50
3.62,3.07,-2.35,nan,51.11,2.52
3.62,3.09,-1.29,nan,40.35,2.45
3.62,3.11,-0.55,nan,43.04,2.50
3.62,3.12,0.50,nan,32.28,2.51
3.62,3.14,1.20,nan,26.90,2.50
3.62,3.16,2.13,nan,34.97,2.49
3.62,3.18,2.71,nan,29.59,2.50
3.62,3.20,3.48,nan,18.83,2.50
3.62,3.22,3.93,nan,26.90,2.51
3.62,3.24,4.51,nan,32.28,2.51
3.62,3.27,5.16,nan,24.21,4.08
3.62,3.28,5.30,nan,24.21,0.88
3.62,3.30,5.56,nan,32.28,2.54
3.62,3.32,5.90,nan,24.21,2.49
3.62,3.34,6.09,nan,21.52,2.47
3.62,3.35,6.33,nan,29.59,2.53
3.62,3.38,6.47,nan,24.21,2.52
3.62,3.39,6.67,nan,21.52,2.49
3.62,3.42,6.76,nan,29.59,2.51
3.62,3.43,6.91,nan,26.90,2.46
3.62,3.45,6.98,nan,18.83,2.50
3.62,3.47,7.07,nan,26.90,2.50
3.62,3.49,7.15,nan,29.59,2.56
3.62,3.51,7.22,nan,18.83,2.49
3.62,3.53,7.27,nan,24.21,2.46
3.62,3.55,7.31,nan,32.28,2.52
3.62,3.57,7.34,nan,10.76,2.46
3.62,3.59,7.39,nan,-484.20,2.51
3.62,3.60,7.39,nan,-973.78,2.50
3.62,3.62,7.41,nan,-1180.91,2.67
3.62,3.62,7.39,nan,-1119.04,2.35
4.00,3.63,7.29,nan,-911.91,2.48
4.00,3.63,7.05,nan,1423.01,3.93
4.00,3.64,6.98,nan,1299.27,1.22
4.00,3.65,6.83,nan,858.11,2.34
4.00,3.66,6.59,nan,551.45,2.51
4.00,3.68,6.43,nan,360.46,2.51
4.00,3.70,6.21,nan,236.72,2.51
4.00,3.72,6.09,nan,153.33,2.54
4.00,3.74,5.92,nan,107.60,2.43
4.00,3.76,5.83,nan,86.08,2.48
4.00,3.77,5.68,nan,64.56,2.52
4.00,3.79,5.64,nan,45.73,2.50
4.00,3.81,5.59,nan,45.73,2.50
4.00,3.83,5.61,nan,43.04,2.50
4.00,3.85,5.71,nan,26.90,2.50
4.00,3.87,5.83,nan,29.59,2.50
4.00,3.89,6.02,nan,34.97,2.50
4.00,3.91,6.14,nan,24.21,2.50
4.00,3.93,6.35,nan,24.21,2.50
4.00,3.95,6.47,nan,32.28,2.56
4.00,3.97,6.64,nan,-371.22,2.44
4.00,3.98,6.74,nan,-941.50,2.51
4.00,4.00,6.83,nan,-1218.57,2.49
4.00,4.00,6.88,nan,-1151.32,2.52
4.00,4.01,6.91,nan,-944.19,2.48
4.00,4.01,6.86,nan,-704.78,2.55
4.00,4.01,6.71,nan,-381.98,2.45
4.00,4.00,6.55,nan,-180.23,2.50
4.00,4.00,6.24,nan,-8.07,2.50
4.00,4.00,6.00,nan,134.50,2.51
4.00,4.00,5.56,nan,158.71,2.50
4.00,4.00,5.23,nan,129.12,2.50
4.00,4.00,4.72,nan,99.53,2.48
4.00,4.00,4.34,nan,99.53,2.52
4.00,4.00,3.76,nan,59.18,2.48
4.00,4.00,3.38,nan,10.76,2.50
4.00,4.00,2.83,nan,-26.90,2.54
4.00,4.00,2.49,nan,-37.66,2.46
4.00,4.00,2.04,nan,-24.21,2.50
4.00,4.00,1.77,nan,-13.45,2.50
4.00,4.00,1.44,nan,-8.07,2.50
4.00,4.00,1.25,nan,-2.69,2.51
4.00,4.00,1.01,nan,-2.69,2.49
4.00,4.00,0.89,nan,-2.69,2.52
4.00,4.00,0.74,nan,-2.69,2.48
3.17,4.00,0.65,nan,-5.38,2.50
3.17,4.00,0.55,nan,-1501.02,2.51
3.17,3.99,0.48,nan,-1420.32,2.56
3.17,3.97,0.36,nan,-936.12,2.44
3.17,3.96,0.24,nan,-602.56,2.50
3.17,3.94,0.02,nan,-398.12,2.50
3.17,3.93,-0.14,nan,-266.31,2.51
3.17,3.91,-0.46,nan,-177.54,2.50
3.17,3.89,-0.70,nan,-126.43,2.51
3.17,3.87,-1.10,nan,-107.60,2.48
3.17,3.85,-1.41,nan,-86.08,2.50
3.17,3.83,-1.89,nan,-61.87,2.54
3.17,3.82,-2.23,nan,-61.87,2.48
3.17,3.80,-2.78,nan,-64.56,2.50
3.17,3.78,-3.17,nan,-48.42,2.48
3.17,3.76,-3.72,nan,-43.04,2.55
3.17,3.74,-4.08,nan,-51.11,2.48
3.17,3.72,-4.60,nan,-48.42,2.51
3.17,3.70,-4.89,nan,-37.66,2.46
3.17,3.68,-5.32,nan,-45.73,2.50
3.17,3.66,-5.56,nan,-45.73,2.50
3.17,3.64,-5.88,nan,-37.66,2.50
3.17,3.62,-6.07,nan,-40.35,2.50
3.17,3.60,-6.31,nan,-45.73,2.51
3.17,3.59,-6.45,nan,-34.97,2.54
3.17,3.56,-6.64,nan,-37.66,2.45
3.17,3.55,-6.74,nan,-51.11,2.50
3.17,3.53,-6.88,nan,-34.97,2.50
3.17,3.51,-6.95,nan,-40.35,2.50
3.17,3.49,-7.05,nan,-43.04,2.54
3.17,3.47,-7.12,nan,-45.73,2.52
3.17,3.45,-7.19,nan,-37.66,2.48
3.17,3.43,-7.24,nan,-45.73,2.46
3.17,3.41,-7.29,nan,-43.04,2.54
3.17,3.39,-7.31,nan,-37.66,2.46
3.17,3.37,-7.36,nan,-43.04,2.51
3.17,3.35,-7.39,nan,-45.73,2.59
3.17,3.33,-7.41,nan,-34.97,2.44
3.17,3.31,-7.43,nan,-37.66,2.46
3.17,3.29,-7.46,nan,-48.42,2.53
3.17,3.27,-7.46,nan,-37.66,2.48
3.17,3.26,-7.48,nan,-34.97,2.55
3.17,3.24,-7.51,nan,-43.04,2.44
3.17,3.22,-7.51,nan,75.32,2.50
2.94,3.20,-7.51,nan,629.46,2.53
2.94,3.18,-7.51,nan,-88.77,2.51
2.94,3.16,-7.51,nan,-271.69,2.43
2.94,3.15,-7.48,nan,-217.89,2.54
2.94,3.13,-7.48,nan,-156.02,2.50
2.94,3.11,-7.46,nan,-107.60,2.53
2.94,3.09,-7.43,nan,-86.08,2.51
2.94,3.07,-7.41,nan,-78.01,2.45
2.94,3.05,-7.39,nan,-61.87,2.49
2.94,3.04,-7.36,nan,-51.11,2.50
2.94,3.02,-7.36,nan,-56.49,2.50
2.94,3.00,-7.34,nan,-48.42,2.57
2.94,2.98,-7.34,nan,217.89,2.43
2.94,2.96,-7.31,nan,763.96,2.53
2.94,2.95,-7.31,nan,1113.66,2.47
2.94,2.94,-7.29,nan,1186.29,2.50
2.94,2.93,-7.24,nan,1014.13,2.50
2.94,2.93,-7.15,nan,777.41,2.50
2.94,2.93,-7.03,nan,486.89,2.54
2.94,2.93,-6.76,nan,182.92,3.00
2.94,2.93,-6.55,nan,48.42,1.99
2.94,2.94,-6.16,nan,-83.39,2.52
2.94,2.94,-5.88,nan,-121.05,2.45
2.94,2.94,-5.40,nan,-147.95,2.54
2.94,2.94,-5.04,nan,-110.29,2.46
2.94,2.94,-4.48,nan,-83.39,2.55
2.94,2.94,-4.10,nan,-80.70,2.48
2.94,2.94,-3.53,nan,-56.49,2.51
2.94,2.94,-3.14,nan,-13.45,2.46
2.94,2.94,-2.61,nan,16.14,2.51
2.94,2.94,-2.28,nan,18.83,2.50
2.94,2.94,-1.85,nan,5.38,2.51
2.94,2.94,-1.61,nan,0.00,2.54
2.94,2.94,-1.29,nan,0.00,2.49
2.94,2.94,-1.13,nan,0.00,2.47
2.94,2.94,-0.94,nan,0.00,2.53
2.94,2.94,-0.82,nan,0.00,2.45
2.94,2.94,-0.67,nan,0.00,2.55
2.94,2.94,-0.60,nan,0.00,2.48
2.94,2.94,-0.50,nan,0.00,2.52
2.94,2.94,-0.46,nan,0.00,2.47
2.94,2.94,-0.38,nan,0.00,2.51
2.94,2.94,-0.34,nan,0.00,2.50
2.94,2.94,-0.29,nan,0.00,2.50
3.96,2.94,-0.24,nan,0.00,2.50
3.96,2.94,-0.19,nan,1517.16,2.49
3.96,2.95,-0.17,nan,1398.80,2.50
3.96,2.96,-0.10,nan,930.74,2.55
3.96,2.98,0.00,nan,594.49,2.45
3.96,2.99,0.14,nan,379.29,2.53
3.96,3.01,0.31,nan,244.79,2.46
3.96,3.03,0.60,nan,164.09,2.51
3.96,3.05,0.82,nan,123.74,2.53
3.96,3.06,1.20,nan,91.46,2.50
3.96,3.08,1.49,nan,61.87,2.46
3.96,3.10,1.97,nan,51.11,2.53
3.96,3.12,2.30,nan,51.11,2.48
3.96,3.14,2.83,nan,37.66,2.49
3.96,3.16,3.19,nan,29.59,2.51
3.96,3.18,3.74,nan,34.97,2.50
3.96,3.20,4.10,nan,29.59,2.49
3.96,3.22,4.60,nan,21.52,2.50
3.96,3.24,4.92,nan,29.59,2.54
3.96,3.26,5.32,nan,32.28,2.47
3.96,3.27,5.56,nan,18.83,2.59
3.96,3.29,5.90,nan,24.21,2.44
3.96,3.31,6.07,nan,29.59,2.46
3.96,3.33,6.33,nan,24.21,2.60
3.96,3.35,6.47,nan,21.52,2.40
3.96,3.37,6.64,nan,32.28,2.53
3.96,3.39,6.76,nan,24.21,2.52
3.96,3.41,6.88,nan,18.83,2.46
3.96,3.43,6.98,nan,29.59,2.49
3.96,3.45,7.07,nan,24.21,2.51
3.96,3.47,7.12,nan,18.83,2.54
3.96,3.49,7.22,nan,24.21,2.56
3.96,3.51,7.24,nan,29.59,2.44
3.96,3.53,7.31,nan,16.14,2.50
3.96,3.55,7.34,nan,24.21,2.48
3.96,3.56,7.36,nan,29.59,2.51
3.96,3.58,7.39,nan,21.52,2.50
3.96,3.60,7.43,nan,21.52,2.50
3.96,3.62,7.43,nan,29.59,2.46
3.96,3.64,7.46,nan,26.90,2.50
3.96,3.66,7.48,nan,21.52,2.51
3.96,3.68,7.48,nan,29.59,2.50
3.96,3.70,7.51,nan,26.90,2.49
3.96,3.72,7.51,nan,18.83,2.50
2.21,3.74,7.51,nan,24.21,2.51
2.21,3.75,7.53,nan,-2985.90,2.52
2.21,3.76,7.51,nan,-2816.43,2.51
2.21,3.75,7.41,nan,-1872.24,2.47
2.21,3.74,7.29,nan,-1175.53,2.51
2.21,3.73,6.98,nan,-742.44,2.50
2.21,3.71,6.69,nan,-481.51,2.49
2.21,3.70,6.14,nan,-312.04,2.50
2.21,3.68,5.71,nan,-223.27,2.47
2.21,3.66,4.96,nan,-156.02,2.50
2.21,3.64,4.39,nan,-112.98,2.50
2.21,3.62,3.48,nan,-88.77,2.50
2.21,3.60,2.83,nan,-86.08,2.51
2.21,3.58,1.77,nan,-59.18,2.54
2.21,3.56,1.06,nan,-53.80,2.47
2.21,3.55,-0.02,nan,-59.18,2.51
2.21,3.53,-0.74,nan,-53.80,2.49
2.21,3.51,-1.75,nan,-40.35,2.49
2.21,3.49,-2.35,nan,-48.42,2.53
2.21,3.47,-3.14,nan,-45.73,2.50
2.21,3.45,-3.62,nan,-37.66,2.45
2.21,3.43,-4.24,nan,-40.35,2.54
2.21,3.41,-4.63,nan,-51.11,2.47
2.21,3.39,-5.11,nan,-37.66,2.50
2.21,3.37,-5.37,nan,-40.35,2.50
2.21,3.35,-5.73,nan,-48.42,2.51
