setpoint[rad],position[rad],velocity[rad/s],current[mA],delta_t[ms],acceleration[rad/s^2]
3.13,2.45,7.63,29.59,2.49,nan
3.13,2.48,7.63,29.59,3.10,nan
3.13,2.49,7.63,29.59,1.90,nan
3.13,2.51,7.65,24.21,2.51,nan
3.13,2.53,7.65,34.97,2.49,nan
3.13,2.55,7.65,29.59,2.51,nan
3.13,2.57,7.65,24.21,2.54,nan
3.13,2.59,7.65,29.59,2.49,nan
3.13,2.61,7.65,34.97,2.47,nan
3.13,2.63,7.65,24.21,2.50,nan
3.13,2.64,7.65,29.59,2.50,nan
3.13,2.66,7.65,34.97,2.49,nan
3.13,2.68,7.65,26.90,2.50,nan
3.13,2.70,7.65,26.90,2.50,nan
3.13,2.72,7.65,37.66,2.50,nan
3.13,2.74,7.65,29.59,2.51,nan
3.13,2.76,7.65,24.21,2.48,nan
3.13,2.78,7.65,32.28,2.50,nan
3.13,2.80,7.65,32.28,2.56,nan
3.13,2.82,7.65,18.83,2.44,nan
3.13,2.84,7.65,24.21,2.50,nan
3.13,2.86,7.65,34.97,2.50,nan
3.13,2.88,7.65,26.90,2.53,nan
3.13,2.89,7.63,26.90,2.46,nan
3.13,2.92,7.63,34.97,2.54,nan
3.13,2.93,7.63,29.59,2.46,nan
3.13,2.95,7.63,24.21,2.54,nan
3.13,2.97,7.63,34.97,2.46,nan
3.13,2.99,7.63,32.28,2.56,nan
3.01,3.01,7.63,24.21,2.44,nan
3.01,3.03,7.63,-2781.46,2.50,nan
3.01,3.03,7.60,-2001.36,2.50,nan
3.01,3.03,7.53,-1167.46,2.50,nan
3.01,3.03,7.36,-629.46,2.51,nan
3.01,3.02,7.19,-190.99,2.53,nan
3.01,3.02,6.86,56.49,2.46,nan
3.01,3.02,6.57,217.89,2.52,nan
3.01,3.01,6.09,312.04,2.47,nan
3.01,3.01,5.73,314.73,2.50,nan
3.01,3.01,5.16,271.69,2.50,nan
3.01,3.01,4.77,177.54,2.53,nan
3.01,3.01,4.15,75.32,2.48,nan
3.01,3.01,3.72,21.52,2.51,nan
3.01,3.01,3.09,-40.35,2.50,nan
3.01,3.01,2.69,-32.28,2.50,nan
3.01,3.01,2.13,-48.42,2.50,nan
3.01,3.01,1.82,-32.28,2.50,nan
3.01,3.01,1.44,-18.83,2.49,nan
3.01,3.01,1.22,-24.21,2.50,nan
3.01,3.01,0.98,-10.76,2.50,nan
3.01,3.01,0.84,0.00,2.50,nan
3.01,3.01,0.70,0.00,2.51,nan
3.01,3.01,0.62,0.00,2.49,nan
3.01,3.01,0.53,0.00,2.50,nan
3.01,3.01,0.48,0.00,2.50,nan
3.01,3.01,0.41,0.00,2.51,nan
3.01,3.01,0.36,0.00,2.49,nan
3.01,3.01,0.31,0.00,2.50,nan
3.01,3.01,0.26,0.00,2.49,nan
3.01,3.01,0.22,0.00,2.50,nan
3.01,3.01,0.19,0.00,2.51,nan
3.01,3.01,0.17,0.00,2.51,nan
3.01,3.01,0.14,0.00,2.49,nan
3.01,3.01,0.12,0.00,2.49,nan
3.01,3.01,0.10,0.00,2.50,nan
3.01,3.01,0.07,0.00,2.50,nan
3.01,3.01,0.07,0.00,2.50,nan
3.01,3.01,0.05,0.00,2.51,nan
3.01,3.01,0.05,0.00,2.48,nan
3.01,3.01,0.05,0.00,2.50,nan
3.01,3.01,0.02,0.00,2.50,nan
3.01,3.01,0.02,0.00,2.50,nan
3.01,3.01,0.02,0.00,2.50,nan
2.66,3.01,0.02,0.00,2.50,nan
2.66,3.01,0.00,-1533.30,2.50,nan
2.66,3.00,0.00,-1412.25,2.50,nan
2.66,2.99,-0.02,-922.67,2.50,nan
2.66,2.97,-0.12,-591.80,2.50,nan
2.66,2.96,-0.24,-392.74,2.53,nan
2.66,2.94,-0.46,-266.31,2.46,nan
2.66,2.92,-0.65,-180.23,2.56,nan
2.66,2.90,-0.96,-126.43,2.44,nan
2.66,2.88,-1.22,-99.53,2.51,nan
2.66,2.87,-1.65,-91.46,2.50,nan
2.66,2.85,-1.97,-67.25,2.49,nan
2.66,2.83,-2.45,-59.18,2.49,nan
2.66,2.81,-2.81,-61.87,2.55,nan
2.66,2.79,-3.36,-56.49,2.46,nan
2.66,2.77,-3.72,-43.04,2.53,nan
2.66,2.75,-4.24,-48.42,2.47,nan
2.66,2.73,-4.58,-53.80,2.54,nan
2.66,2.71,-5.04,-40.35,2.46,nan
2.66,2.69,-5.30,368.53,2.50,nan
2.66,2.68,-5.66,876.94,2.50,nan
2.66,2.66,-5.85,1140.56,2.50,nan
2.66,2.66,-6.09,1132.49,2.50,nan
2.66,2.65,-6.19,941.50,2.50,nan
2.66,2.65,-6.24,642.91,2.53,nan
2.66,2.65,-6.21,398.12,2.48,nan
2.66,2.65,-6.07,201.75,2.50,nan
2.66,2.66,-5.92,37.66,2.50,nan
2.66,2.66,-5.61,-88.77,2.50,nan
2.66,2.66,-5.37,-161.40,2.50,nan
2.66,2.66,-4.94,-150.64,2.50,nan
2.66,2.66,-4.63,-112.98,2.49,nan
2.66,2.66,-4.10,-96.84,2.50,nan
2.66,2.66,-3.74,-53.80,2.50,nan
2.66,2.66,-3.21,-24.21,2.50,nan
2.66,2.66,-2.85,24.21,2.50,nan
2.66,2.66,-2.35,34.97,2.50,nan
2.66,2.66,-2.06,16.14,2.50,nan
2.66,2.66,-1.68,2.69,2.50,nan
2.66,2.66,-1.46,0.00,2.50,nan
2.66,2.66,-1.18,0.00,2.50,nan
2.66,2.66,-1.01,0.00,2.50,nan
2.66,2.66,-0.84,0.00,2.50,nan
2.66,2.66,-0.74,0.00,2.50,nan
3.09,2.66,-0.62,10.76,2.50,nan
3.09,2.66,-0.55,1554.82,2.51,nan
3.09,2.67,-0.46,1385.35,2.50,nan
3.09,2.68,-0.36,906.53,2.50,nan
3.09,2.70,-0.19,578.35,2.50,nan
3.09,2.71,-0.05,368.53,2.50,nan
3.09,2.73,0.19,234.03,2.50,nan
3.09,2.75,0.41,166.78,2.50,nan
3.09,2.77,0.77,123.74,2.50,nan
3.09,2.78,1.06,86.08,2.50,nan
3.09,2.80,1.49,61.87,2.50,nan
3.09,2.82,1.82,53.80,2.50,nan
3.09,2.84,2.33,51.11,2.50,nan
3.09,2.86,2.69,32.28,2.50,nan
3.09,2.88,3.26,34.97,2.53,nan
3.09,2.90,3.65,40.35,2.49,nan
3.09,2.92,4.20,32.28,2.48,nan
3.09,2.94,4.53,24.21,2.51,nan
3.09,2.96,4.99,32.28,2.49,nan
3.09,2.98,5.28,29.59,2.50,nan
3.09,3.00,5.64,24.21,2.49,nan
3.09,3.02,5.85,32.28,2.54,nan
3.09,3.04,6.14,34.97,2.46,nan
3.09,3.05,6.31,-271.69,2.54,nan
3.09,3.07,6.50,-801.62,2.47,nan
3.09,3.08,6.62,-1135.18,2.50,nan
3.09,3.09,6.74,-1156.70,2.49,nan
3.09,3.10,6.76,-981.85,2.50,nan
3.09,3.10,6.74,-704.78,2.50,nan
3.09,3.10,6.67,-430.40,2.50,nan
3.09,3.10,6.45,-220.58,2.51,nan
3.09,3.09,6.28,-21.52,2.50,nan
3.09,3.09,5.92,80.70,2.49,nan
3.09,3.09,5.66,126.43,2.50,nan
3.09,3.09,5.18,129.12,2.50,nan
3.09,3.09,4.87,107.60,2.50,nan
3.09,3.09,4.32,75.32,2.50,nan
3.09,3.09,3.96,91.46,2.52,nan
3.09,3.09,3.38,21.52,2.50,nan
3.09,3.09,3.02,8.07,2.48,nan
3.09,3.09,2.49,-26.90,2.50,nan
3.09,3.09,2.18,-16.14,2.50,nan
3.09,3.09,1.77,-16.14,2.50,nan
3.09,3.09,1.53,2.69,2.58,nan
3.75,3.09,1.25,-2.69,2.43,nan
3.75,3.09,1.08,1517.16,2.50,nan
3.75,3.10,0.91,1371.90,2.50,nan
3.75,3.11,0.84,909.22,2.50,nan
3.75,3.12,0.79,642.91,2.50,nan
3.75,3.14,0.84,408.88,2.50,nan
3.75,3.16,0.96,239.41,2.51,nan
3.75,3.18,1.08,166.78,2.50,nan
3.75,3.19,1.25,129.12,2.49,nan
3.75,3.22,1.56,88.77,2.53,nan
3.75,3.23,1.92,61.87,2.46,nan
3.75,3.25,2.21,56.49,2.54,nan
3.75,3.27,2.64,51.11,2.46,nan
3.75,3.29,2.97,32.28,2.51,nan
3.75,3.31,3.48,40.35,2.50,nan
3.75,3.33,3.84,43.04,2.54,nan
3.75,3.34,4.17,40.35,2.45,nan
3.75,3.37,4.65,29.59,2.61,nan
3.75,3.39,5.08,34.97,2.39,nan
3.75,3.40,5.35,29.59,2.54,nan
3.75,3.42,5.59,29.59,2.46,nan
3.75,3.44,5.90,26.90,2.50,nan
3.75,3.46,6.07,34.97,2.50,nan
3.75,3.48,6.31,24.21,2.53,nan
3.75,3.50,6.45,24.21,2.47,nan
3.75,3.52,6.62,34.97,2.54,nan
3.75,3.54,6.79,24.21,2.50,nan
3.75,3.56,6.86,26.90,2.51,nan
3.75,3.58,6.93,29.59,2.46,nan
3.75,3.60,7.05,26.90,2.52,nan
3.75,3.61,7.10,26.90,2.48,nan
3.75,3.64,7.17,34.97,2.50,nan
3.75,3.66,7.24,26.90,2.51,nan
3.75,3.67,7.27,29.59,2.50,nan
3.75,3.70,7.31,29.59,2.50,nan
3.75,3.72,7.36,-255.55,2.50,nan
3.75,3.73,7.39,-694.02,2.50,nan
3.75,3.74,7.39,-1124.42,2.50,nan
3.75,3.75,7.39,-1170.15,2.50,nan
3.75,3.76,7.34,-984.54,2.51,nan
3.75,3.76,7.22,-715.54,2.51,nan
3.75,3.76,7.10,-446.54,2.48,nan
3.75,3.76,6.81,-244.79,2.49,nan
3.75,3.76,6.59,-67.25,2.50,nan
3.41,3.75,6.19,59.18,2.51,nan
3.41,3.75,5.90,-1350.38,2.50,nan
3.41,3.74,5.40,-1256.23,2.51,nan
3.41,3.73,4.99,-831.21,2.49,nan
3.41,3.71,4.34,-535.31,2.49,nan
3.41,3.70,3.84,-355.08,2.49,nan
3.41,3.68,3.05,-244.79,2.57,nan
3.41,3.66,2.47,-166.78,2.46,nan
3.41,3.64,1.61,-115.67,2.50,nan
3.41,3.62,1.03,-96.84,2.77,nan
3.41,3.60,0.17,-86.08,2.23,nan
3.41,3.58,-0.36,-61.87,2.51,nan
3.41,3.56,-1.18,-59.18,2.45,nan
3.41,3.55,-1.68,-61.87,2.52,nan
3.41,3.53,-2.45,-53.80,2.50,nan
3.41,3.51,-2.93,-43.04,2.54,nan
3.41,3.49,-3.60,-51.11,2.45,nan
3.41,3.47,-4.00,-45.73,2.53,nan
3.41,3.45,-4.39,2.69,2.47,nan
3.41,3.44,-4.87,581.04,2.50,nan
3.41,3.42,-5.16,1059.86,2.50,nan
3.41,3.41,-5.52,1191.67,2.53,nan
3.41,3.40,-5.71,1062.55,2.47,nan
3.41,3.40,-5.88,782.79,2.53,nan
3.41,3.40,-5.92,599.87,2.47,nan
3.41,3.40,-5.90,271.69,2.53,nan
3.41,3.40,-5.80,99.53,2.47,nan
3.41,3.41,-5.59,-2.69,2.63,nan
3.41,3.41,-5.28,-134.50,2.37,nan
3.41,3.41,-5.01,-166.78,2.54,nan
3.41,3.41,-4.72,-115.67,2.46,nan
3.41,3.41,-4.27,-61.87,2.54,nan
3.41,3.41,-3.93,-69.94,2.46,nan
3.41,3.41,-3.41,-43.04,2.53,nan
3.41,3.41,-3.07,0.00,2.47,nan
3.41,3.41,-2.57,10.76,2.52,nan
3.41,3.41,-2.23,13.45,2.48,nan
3.41,3.41,-1.82,2.69,2.52,nan
3.41,3.41,-1.49,0.00,2.49,nan
3.41,3.41,-1.27,0.00,2.51,nan
3.41,3.41,-1.10,0.00,2.50,nan
3.41,3.41,-0.91,0.00,2.51,nan
3.41,3.41,-0.74,0.00,2.50,nan
3.41,3.41,-0.65,0.00,2.50,nan
2.61,3.41,-0.55,0.00,2.50,nan
2.61,3.41,-0.48,-1522.54,2.49,nan
2.61,3.40,-0.43,-1412.25,2.50,nan
2.61,3.39,-0.41,-928.05,2.52,nan
2.61,3.37,-0.46,-597.18,2.50,nan
2.61,3.35,-0.53,-392.74,2.51,nan
2.61,3.34,-0.70,-266.31,2.50,nan
2.61,3.32,-0.84,-182.92,2.49,nan
2.61,3.30,-1.13,-126.43,2.50,nan
2.61,3.28,-1.37,-99.53,2.52,nan
2.61,3.26,-1.77,-91.46,2.46,nan
2.61,3.24,-2.06,-64.56,2.51,nan
2.61,3.23,-2.52,-56.49,2.50,nan
2.61,3.21,-2.85,-61.87,2.50,nan
2.61,3.19,-3.38,-56.49,2.50,nan
2.61,3.17,-3.74,-43.04,2.50,nan
2.61,3.15,-4.27,-48.42,2.50,nan
2.61,3.13,-4.58,-53.80,2.60,nan
2.61,3.11,-5.04,-40.35,2.40,nan
2.61,3.09,-5.30,-43.04,2.55,nan
2.61,3.08,-5.54,-45.73,2.45,nan
2.61,3.05,-5.88,-40.35,2.53,nan
2.61,3.04,-6.14,-43.04,2.48,nan
2.61,3.02,-6.31,-48.42,2.56,nan
2.61,3.00,-6.50,-45.73,2.45,nan
2.61,2.98,-6.62,-37.66,2.51,nan
2.61,2.96,-6.79,-48.42,2.48,nan
2.61,2.94,-6.88,-45.73,2.50,nan
2.61,2.92,-6.95,-48.42,2.49,nan
2.61,2.90,-7.07,-43.04,2.52,nan
2.61,2.88,-7.12,-43.04,2.48,nan
2.61,2.86,-7.22,-37.66,2.52,nan
2.61,2.84,-7.27,-40.35,2.50,nan
2.61,2.82,-7.31,-51.11,2.52,nan
2.61,2.80,-7.36,-43.04,2.47,nan
2.61,2.78,-7.39,-40.35,2.53,nan
2.61,2.77,-7.41,-40.35,2.46,nan
2.61,2.74,-7.46,-45.73,2.51,nan
2.61,2.72,-7.48,-40.35,2.49,nan
2.61,2.71,-7.51,-40.35,2.52,nan
2.61,2.69,-7.51,-45.73,2.48,nan
2.61,2.67,-7.53,-37.66,2.50,nan
2.61,2.65,-7.55,220.58,2.51,nan
2.61,2.63,-7.58,815.07,2.50,nan
4.13,2.62,-7.58,1140.56,2.49,nan
4.13,2.61,-7.55,2571.64,2.50,nan
4.13,2.61,-7.46,2143.93,2.50,nan
4.13,2.62,-7.34,1388.04,2.51,nan
4.13,2.63,-7.05,871.56,2.48,nan
4.13,2.65,-6.79,554.14,2.51,nan
4.13,2.66,-6.26,357.77,2.49,nan
4.13,2.68,-5.83,234.03,2.52,nan
4.13,2.70,-5.08,153.33,2.49,nan
4.13,2.72,-4.53,112.98,2.49,nan
4.13,2.74,-3.93,88.77,2.49,nan
4.13,2.75,-2.95,75.32,2.50,nan
4.13,2.77,-1.92,51.11,2.50,nan
4.13,2.79,-1.20,45.73,2.50,nan
4.13,2.81,-0.12,40.35,2.52,nan
4.13,2.83,0.58,29.59,2.50,nan
4.13,2.85,1.25,29.59,2.48,nan
4.13,2.87,2.21,40.35,2.50,nan
4.13,2.89,2.78,34.97,2.50,nan
4.13,2.91,3.53,29.59,2.54,nan
4.13,2.93,4.17,34.97,2.49,nan
4.13,2.95,4.56,29.59,2.48,nan
4.13,2.97,5.06,26.90,2.50,nan
4.13,2.99,5.35,34.97,2.50,nan
4.13,3.01,5.59,34.97,2.49,nan
4.13,3.03,5.92,21.52,2.50,nan
4.13,3.04,6.12,24.21,2.49,nan
4.13,3.07,6.38,32.28,2.52,nan
4.13,3.08,6.52,29.59,2.48,nan
4.13,3.10,6.69,29.59,2.53,nan
4.13,3.12,6.86,37.66,2.47,nan
4.13,3.14,6.93,21.52,2.53,nan
4.13,3.16,7.05,26.90,2.48,nan
4.13,3.18,7.10,34.97,2.52,nan
4.13,3.20,7.19,26.90,2.48,nan
4.13,3.22,7.24,21.52,2.52,nan
4.13,3.24,7.29,32.28,2.47,nan
4.13,3.26,7.31,29.59,2.52,nan
4.13,3.28,7.36,24.21,2.47,nan
4.13,3.30,7.39,29.59,2.52,nan
4.13,3.31,7.41,34.97,2.49,nan
4.13,3.33,7.43,32.28,2.49,nan
4.13,3.35,7.43,29.59,2.51,nan
4.13,3.37,7.46,29.59,2.48,nan
3.71,3.39,7.46,32.28,2.50,nan
3.71,3.41,7.48,-139.88,2.50,nan
3.71,3.43,7.48,88.77,2.50,nan
3.71,3.44,7.48,88.77,2.50,nan
3.71,3.46,7.48,75.32,2.50,nan
3.71,3.48,7.48,48.42,2.51,nan
3.71,3.50,7.48,45.73,2.49,nan
3.71,3.52,7.48,45.73,2.50,nan
3.71,3.54,7.48,34.97,2.50,nan
3.71,3.56,7.48,29.59,2.50,nan
3.71,3.58,7.48,37.66,2.50,nan
3.71,3.60,7.46,29.59,2.50,nan
3.71,3.62,7.46,21.52,2.50,nan
3.71,3.64,7.46,32.28,2.50,nan
3.71,3.65,7.46,34.97,2.50,nan
3.71,3.67,7.48,-223.27,2.50,nan
3.71,3.69,7.48,-812.38,2.50,nan
3.71,3.70,7.48,-1135.18,2.50,nan
3.71,3.71,7.46,-1143.25,2.50,nan
3.71,3.72,7.39,-1003.37,2.50,nan
3.71,3.72,7.29,-718.23,2.50,nan
3.71,3.72,7.10,-454.61,2.50,nan
3.71,3.72,6.91,-239.41,2.50,nan
3.71,3.72,6.57,-34.97,2.54,nan
3.71,3.71,6.31,43.04,2.46,nan
3.71,3.71,5.85,131.81,2.53,nan
3.71,3.71,5.52,147.95,2.47,nan
3.71,3.71,4.99,121.05,2.50,nan
3.71,3.71,4.60,94.15,2.50,nan
3.71,3.71,4.03,72.63,2.56,nan
3.71,3.71,3.62,48.42,2.44,nan
3.71,3.71,3.05,-8.07,2.55,nan
3.71,3.71,2.69,-40.35,2.45,nan
3.71,3.71,2.21,-32.28,2.54,nan
3.71,3.71,1.80,-18.83,2.51,nan
3.71,3.71,1.56,-10.76,2.55,nan
3.71,3.71,1.37,-8.07,2.41,nan
3.71,3.71,1.10,-5.38,2.52,nan
3.71,3.71,0.96,-2.69,2.47,nan
3.71,3.71,0.79,-2.69,2.56,nan
3.71,3.71,0.70,-8.07,2.44,nan
3.71,3.71,0.60,0.00,2.53,nan
3.71,3.71,0.53,0.00,2.48,nan
3.71,3.71,0.43,0.00,2.50,nan
2.90,3.71,0.38,0.00,2.49,nan
2.90,3.71,0.34,-1643.59,2.57,nan
2.90,3.70,0.26,-1301.96,2.44,nan
2.90,3.69,0.19,-944.19,2.49,nan
2.90,3.67,0.05,-548.76,2.51,nan
2.90,3.65,-0.07,-352.39,2.51,nan
2.90,3.64,-0.24,-258.24,2.48,nan
2.90,3.62,-0.53,-180.23,2.50,nan
2.90,3.60,-0.77,-142.57,2.50,nan
2.90,3.58,-1.18,-94.15,2.51,nan
2.90,3.57,-1.46,-78.01,2.49,nan
2.90,3.55,-1.92,-72.63,2.50,nan
2.90,3.53,-2.45,-53.80,2.53,nan
2.90,3.51,-2.81,-53.80,2.52,nan
2.90,3.49,-3.36,-59.18,2.46,nan
2.90,3.47,-3.74,-56.49,2.49,nan
2.90,3.45,-4.10,-45.73,2.50,nan
2.90,3.43,-4.60,-40.35,2.49,nan
2.90,3.41,-4.89,-48.42,2.50,nan
2.90,3.39,-5.30,-40.35,2.51,nan
2.90,3.37,-5.56,-37.66,2.49,nan
2.90,3.35,-5.88,-51.11,2.51,nan
2.90,3.34,-6.07,-51.11,2.49,nan
2.90,3.31,-6.31,-40.35,2.51,nan
2.90,3.30,-6.43,-43.04,2.49,nan
2.90,3.28,-6.62,-51.11,2.50,nan
2.90,3.26,-6.76,-37.66,2.51,nan
2.90,3.24,-6.86,-37.66,2.49,nan
2.90,3.22,-6.93,-48.42,2.50,nan
2.90,3.20,-7.03,-40.35,2.50,nan
2.90,3.18,-7.10,-37.66,2.50,nan
2.90,3.16,-7.17,-51.11,2.69,nan
2.90,3.14,-7.22,-37.66,2.41,nan
2.90,3.12,-7.27,-43.04,2.43,nan
2.90,3.11,-7.29,-43.04,2.47,nan
2.90,3.08,-7.34,-37.66,2.53,nan
2.90,3.07,-7.36,-37.66,2.46,nan
2.90,3.05,-7.41,-40.35,2.50,nan
2.90,3.03,-7.41,-51.11,2.50,nan
2.90,3.01,-7.43,-40.35,2.51,nan
2.90,2.99,-7.46,-45.73,2.50,nan
2.90,2.97,-7.48,-45.73,2.57,nan
2.90,2.95,-7.51,10.76,2.46,nan
2.90,2.93,-7.51,524.55,2.51,nan
3.62,2.92,-7.53,941.50,2.45,nan
3.62,2.91,-7.51,2789.53,2.53,nan
3.62,2.91,-7.48,2353.75,2.47,nan
3.62,2.92,-7.31,1393.42,2.54,nan
3.62,2.93,-7.15,952.26,2.46,nan
3.62,2.95,-6.79,556.83,2.53,nan
3.62,2.96,-6.47,387.36,2.48,nan
3.62,2.98,-5.88,231.34,2.55,nan
3.62,2.99,-5.40,172.16,2.44,nan
3.62,3.01,-4.60,112.98,2.50,nan
3.62,3.03,-4.00,88.77,2.50,nan
3.62,3.05,-3.05,75.32,2.50,nan
3.62,3.07,-2.37,51.11,2.50,nan
3.62,3.09,-1.29,40.35,2.52,nan
3.62,3.11,-0.58,45.73,2.48,nan
3.62,3.12,0.48,34.97,2.50,nan
3.62,3.14,1.18,26.90,2.50,nan
3.62,3.16,2.13,34.97,2.50,nan
3.62,3.18,2.69,34.97,2.50,nan
3.62,3.21,3.45,26.90,2.53,nan
3.62,3.22,3.91,29.59,2.49,nan
3.62,3.24,4.48,26.90,2.51,nan
3.62,3.26,4.84,24.21,2.49,nan
3.62,3.28,5.28,32.28,2.52,nan
3.62,3.30,5.54,32.28,2.47,nan
3.62,3.32,5.88,26.90,2.51,nan
3.62,3.33,6.07,21.52,2.50,nan
3.62,3.35,6.31,29.59,2.50,nan
3.62,3.38,6.52,18.83,2.50,nan
