setpoint[rad],position[rad],velocity[rad/s],acceleration[rad/s^2],current[mA],delta_t [ms]
3.99,3.04,-0.72,nan,1581.72,2.24
3.99,3.05,-0.58,nan,1094.83,2.49
3.99,3.06,-0.46,nan,696.71,2.52
3.99,3.08,-0.24,nan,416.95,3.01
3.99,3.10,-0.07,nan,301.28,1.98
3.99,3.12,0.22,nan,177.54,3.00
3.99,3.13,0.60,nan,129.12,2.17
3.99,3.15,0.89,nan,99.53,2.34
3.99,3.17,1.18,nan,80.70,2.46
3.99,3.19,1.65,nan,56.49,2.50
3.99,3.21,2.01,nan,45.73,2.51
3.99,3.22,2.54,nan,45.73,2.51
3.99,3.24,2.93,nan,37.66,2.50
3.99,3.26,3.50,nan,29.59,2.49
3.99,3.28,3.86,nan,34.97,2.50
3.99,3.30,4.39,nan,34.97,2.50
3.99,3.32,4.72,nan,24.21,2.51
3.99,3.34,5.16,nan,29.59,2.49
3.99,3.36,5.40,nan,34.97,2.56
4.25,3.38,5.76,nan,24.21,2.45
4.25,3.40,5.95,nan,29.59,2.51
4.25,3.42,6.21,nan,34.97,2.48
4.25,3.44,6.35,nan,26.90,2.49
4.25,3.46,6.57,nan,21.52,2.52
4.25,3.48,6.67,nan,32.28,2.49
4.25,3.50,6.83,nan,32.28,2.51
4.25,3.51,6.91,nan,21.52,2.48
4.25,3.53,7.03,nan,29.59,2.49
4.25,3.55,7.07,nan,32.28,2.52
4.25,3.57,7.17,nan,18.83,2.51
4.25,3.59,7.22,nan,29.59,2.48
4.25,3.61,7.27,nan,32.28,2.64
4.25,3.63,7.31,nan,21.52,2.42
4.25,3.65,7.34,nan,26.90,2.47
4.25,3.67,7.39,nan,26.90,2.68
4.25,3.69,7.41,nan,26.90,2.29
4.25,3.71,7.43,nan,29.59,2.91
4.25,3.73,7.46,nan,29.59,2.53
4.25,3.75,7.48,nan,29.59,2.08
2.86,3.76,7.48,nan,18.83,2.51
2.86,3.78,7.51,nan,-2988.59,2.45
2.86,3.79,7.48,nan,-2867.54,2.50
2.86,3.78,7.43,nan,-1869.55,2.50
2.86,3.77,7.24,nan,-1178.22,2.50
2.86,3.76,7.03,nan,-755.89,2.54
2.86,3.74,6.59,nan,-486.89,2.45
2.86,3.72,6.24,nan,-320.11,2.56
2.86,3.70,5.59,nan,-212.51,2.49
2.86,3.69,5.08,nan,-147.95,2.45
2.86,3.67,4.22,nan,-115.67,2.53
2.86,3.65,3.62,nan,-96.84,2.47
2.86,3.63,2.64,nan,-69.94,2.50
2.86,3.61,1.92,nan,-64.56,2.52
2.86,3.59,0.84,nan,-61.87,2.51
2.86,3.57,0.10,nan,-51.11,2.49
2.86,3.55,-0.94,nan,-43.04,2.49
2.86,3.53,-1.61,nan,-53.80,2.51
2.86,3.51,-2.49,nan,-48.42,2.50
2.86,3.50,-3.05,nan,-37.66,2.50
3.89,3.48,-3.76,nan,-43.04,2.51
3.89,3.46,-4.17,nan,2977.83,2.48
3.89,3.46,-4.70,nan,2864.85,2.51
3.89,3.46,-4.96,nan,1866.86,2.50
3.89,3.47,-5.18,nan,1151.32,2.49
3.89,3.49,-5.20,nan,723.61,2.52
3.89,3.50,-5.06,nan,462.68,2.57
3.89,3.52,-4.89,nan,303.97,2.45
3.89,3.54,-4.46,nan,209.82,2.62
3.89,3.55,-4.08,nan,137.19,2.34
3.89,3.57,-3.41,nan,94.15,2.50
3.89,3.59,-2.88,nan,75.32,2.50
3.89,3.61,-2.01,nan,61.87,2.49
3.89,3.63,-1.39,nan,40.35,2.50
3.89,3.65,-0.38,nan,37.66,2.51
3.89,3.67,0.62,nan,34.97,2.52
3.89,3.69,1.27,nan,32.28,2.49
3.89,3.71,1.89,nan,24.21,2.49
3.89,3.73,2.76,nan,32.28,2.52
3.89,3.75,3.50,nan,18.83,2.47
3.72,3.76,3.96,nan,21.52,2.49
3.72,3.78,4.34,nan,-2985.90,2.55
3.72,3.79,4.84,nan,-2996.66,2.45
3.72,3.78,5.08,nan,-1856.10,2.51
3.72,3.77,5.28,nan,-1164.77,2.50
3.72,3.75,5.28,nan,-476.13,2.49
3.72,3.74,5.13,nan,215.20,2.52
3.72,3.73,4.94,nan,672.50,2.49
3.72,3.72,4.53,nan,885.01,2.71
3.72,3.71,4.20,nan,839.28,2.28
3.72,3.71,3.65,nan,707.47,2.52
3.72,3.71,3.24,nan,511.10,2.52
3.72,3.71,2.61,nan,325.49,2.46
3.72,3.71,2.18,nan,158.71,2.50
3.72,3.71,1.56,nan,26.90,2.52
3.72,3.72,1.15,nan,-80.70,2.49
3.72,3.72,0.62,nan,-69.94,2.50
3.72,3.72,0.34,nan,-121.05,2.56
3.72,3.72,0.02,nan,-94.15,2.44
3.72,3.72,-0.07,nan,-72.63,2.49
3.32,3.72,-0.17,nan,-48.42,2.50
3.32,3.72,-0.19,nan,-1503.71,2.52
3.32,3.71,-0.19,nan,-1382.66,2.59
3.32,3.70,-0.19,nan,-919.98,2.40
3.32,3.68,-0.24,nan,-594.49,2.50
3.32,3.66,-0.31,nan,-395.43,2.51
3.32,3.64,-0.48,nan,-255.55,2.49
3.32,3.63,-0.65,nan,-177.54,2.49
