setpoint[rad],position[rad],velocity[rad/s],current[mA],delta_t[ms],acceleration[rad/s^2]
3.28,2.79,7.70,18.83,2.50,nan
3.28,2.81,7.70,24.21,2.50,nan
3.24,2.83,7.70,32.28,2.51,nan
3.24,2.85,7.70,21.52,2.53,nan
3.20,2.87,7.70,24.21,2.46,nan
3.20,2.89,7.70,29.59,2.53,nan
3.16,2.91,7.70,24.21,2.48,nan
3.14,2.93,7.70,24.21,2.50,nan
3.12,2.95,7.70,32.28,2.49,nan
3.10,2.97,7.70,24.21,2.51,nan
3.08,2.98,7.67,21.52,2.50,nan
3.08,3.01,7.67,29.59,2.51,nan
3.04,3.02,7.67,26.90,2.48,nan
3.04,3.04,7.67,-1775.40,2.50,nan
3.00,3.05,7.65,-1560.20,2.49,nan
3.00,3.05,7.60,-2340.30,2.52,nan
2.97,3.05,7.48,-1794.23,2.48,nan
2.97,3.04,7.31,-1178.22,2.52,nan
2.93,3.03,6.95,-780.10,2.48,nan
2.93,3.01,6.67,-503.03,2.52,nan
2.89,2.99,6.07,-325.49,2.48,nan
2.89,2.97,5.64,-225.96,2.52,nan
2.86,2.96,4.84,-169.47,2.48,nan
2.86,2.94,4.27,-121.05,2.52,nan
2.82,2.92,3.33,-86.08,2.48,nan
2.79,2.89,2.30,-64.56,3.67,nan
2.79,2.88,1.61,-69.94,1.34,nan
2.78,2.86,0.86,-51.11,2.51,nan
2.76,2.84,-0.19,-48.42,2.50,nan
2.76,2.82,-0.89,-56.49,2.50,nan
2.74,2.80,-1.87,220.58,2.48,nan
2.74,2.78,-2.47,18.83,2.52,nan
2.72,2.77,-3.26,433.09,2.49,nan
2.72,2.75,-3.72,78.01,2.51,nan
2.70,2.73,-4.34,586.42,2.50,nan
2.70,2.72,-4.68,153.33,2.49,nan
2.68,2.71,-5.08,591.80,2.50,nan
2.68,2.70,-5.30,177.54,2.50,nan
2.66,2.69,-5.52,486.89,2.48,nan
2.66,2.68,-5.64,118.36,2.50,nan
2.65,2.67,-5.71,368.53,2.55,nan
2.65,2.67,-5.71,64.56,2.46,nan
2.65,2.66,-5.66,287.83,2.49,nan
2.65,2.66,-5.56,228.65,2.51,nan
2.64,2.65,-5.40,180.23,2.48,nan
2.64,2.65,-5.25,72.63,2.52,nan
2.64,2.64,-4.99,190.99,2.50,nan
2.64,2.64,-4.80,252.86,2.48,nan
2.65,2.64,-4.46,223.27,2.51,nan
2.65,2.64,-4.24,355.08,2.51,nan
2.65,2.64,-3.88,188.30,2.50,nan
2.65,2.64,-3.65,312.04,2.50,nan
2.66,2.64,-3.29,104.91,2.50,nan
2.66,2.65,-3.02,349.70,2.49,nan
2.68,2.65,-2.64,80.70,2.51,nan
2.68,2.66,-2.40,387.36,2.50,nan
2.70,2.66,-2.01,56.49,2.50,nan
2.70,2.67,-1.75,521.86,2.50,nan
2.72,2.68,-1.37,45.73,2.51,nan
2.73,2.69,-0.96,352.39,2.66,nan
2.74,2.70,-0.70,271.69,2.40,nan
2.74,2.71,-0.41,489.58,2.44,nan
2.77,2.72,0.00,-177.54,2.70,nan
2.78,2.73,0.26,352.39,2.29,nan
2.80,2.75,0.70,365.84,2.65,nan
2.81,2.78,1.53,-586.42,5.40,nan
2.85,2.79,1.68,-266.31,1.38,nan
2.85,2.79,1.68,-188.30,0.92,nan
2.87,2.80,2.09,513.79,2.23,nan
2.89,2.83,2.61,188.30,4.10,nan
2.90,2.84,2.76,56.49,0.83,nan
2.92,2.85,3.00,271.69,2.50,nan
2.95,2.87,3.38,215.20,2.58,nan
2.95,2.89,3.62,158.71,2.40,nan
2.99,2.91,3.98,-91.46,2.50,nan
2.99,2.93,4.22,48.42,2.50,nan
3.03,2.94,4.53,59.18,2.50,nan
3.05,2.96,4.75,86.08,2.49,nan
3.07,2.98,5.04,115.67,2.50,nan
3.07,3.00,5.20,86.08,2.50,nan
3.12,3.02,5.47,69.94,2.50,nan
3.12,3.04,5.64,61.87,2.50,nan
3.16,3.06,5.85,37.66,2.50,nan
3.16,3.08,6.02,37.66,2.51,nan
3.20,3.09,6.21,43.04,2.49,nan
3.23,3.11,6.33,29.59,2.50,nan
3.25,3.13,6.52,26.90,2.50,nan
3.25,3.15,6.62,34.97,2.50,nan
3.29,3.17,6.74,26.90,2.50,nan
3.31,3.19,6.83,21.52,2.50,nan
3.33,3.21,6.93,29.59,2.50,nan
3.36,3.23,7.00,29.59,2.50,nan
3.38,3.25,7.10,18.83,2.50,nan
3.38,3.27,7.15,26.90,2.51,nan
3.41,3.28,7.22,29.59,2.49,nan
3.43,3.31,7.24,18.83,2.51,nan
3.45,3.32,7.31,24.21,2.50,nan
3.45,3.34,7.34,29.59,2.51,nan
3.49,3.37,7.36,21.52,2.49,nan
3.49,3.38,7.39,21.52,2.51,nan
3.52,3.40,7.43,29.59,2.49,nan
3.52,3.42,7.43,24.21,2.50,nan
3.55,3.44,7.46,18.83,2.49,nan
3.56,3.46,7.48,26.90,2.51,nan
3.57,3.48,7.51,24.21,2.49,nan
3.57,3.50,7.51,16.14,2.51,nan
3.59,3.52,7.53,24.21,2.50,nan
3.60,3.54,7.53,29.59,2.51,nan
3.61,3.56,7.53,0.00,2.48,nan
3.62,3.58,7.53,-255.55,2.50,nan
3.62,3.59,7.53,-543.38,2.55,nan
3.62,3.61,7.53,-699.40,2.48,nan
3.64,3.62,7.51,-1003.37,2.51,nan
3.64,3.63,7.48,-602.56,2.57,nan
3.64,3.64,7.36,-508.41,2.43,nan
3.64,3.64,7.27,-470.75,2.51,nan
3.64,3.64,7.07,-473.44,2.47,nan
3.64,3.64,6.88,-293.21,2.52,nan
3.64,3.64,6.57,-150.64,2.96,nan
3.63,3.64,6.21,-164.09,2.62,nan
3.62,3.64,5.76,-277.07,3.63,nan
3.62,3.64,5.44,-465.37,1.29,nan
3.62,3.64,5.11,-363.15,2.00,nan
3.62,3.63,4.75,-263.62,2.51,nan
3.60,3.62,2.78,317.42,7.73,nan
3.58,3.61,2.40,-347.01,2.92,nan
3.56,3.61,2.04,-758.58,2.75,nan
3.54,3.59,1.22,-656.36,4.92,nan
3.51,3.59,1.08,-449.23,1.26,nan
3.51,3.58,0.91,-594.49,1.34,nan
3.50,3.56,0.43,-476.13,3.11,nan
3.48,3.55,0.12,-325.49,1.69,nan
3.46,3.53,-0.19,-260.93,2.50,nan
3.44,3.52,-0.70,-190.99,2.49,nan
3.42,3.49,-1.20,-118.36,2.87,nan
3.40,3.48,-1.53,-99.53,2.14,nan
3.40,3.46,-1.87,-86.08,2.49,nan
3.36,3.44,-2.37,118.36,2.51,nan
3.34,3.42,-2.88,-75.32,2.73,nan
3.31,3.40,-3.24,-118.36,2.56,nan
3.29,3.34,-4.56,586.42,7.82,nan
3.29,3.33,-4.84,269.00,1.49,nan
3.29,3.31,-5.23,629.46,3.48,nan
3.29,3.30,-5.44,876.94,1.58,nan
3.29,3.29,-5.61,1024.89,2.53,nan
3.12,3.28,-5.83,876.94,3.58,nan
3.12,3.28,-5.88,-860.80,1.75,nan
3.07,3.28,-5.88,-1371.90,2.17,nan
3.05,3.26,-5.83,-828.52,3.44,nan
3.02,3.25,-5.76,-656.36,1.50,nan
3.00,3.23,-5.68,-425.02,2.62,nan
2.98,3.22,-5.59,-274.38,2.42,nan
2.96,3.20,-5.54,-185.61,2.63,nan
2.93,3.18,-5.44,-142.57,2.35,nan
2.91,3.16,-5.40,-112.98,2.50,nan
2.89,3.14,-5.35,-78.01,2.51,nan
2.87,3.12,-5.35,-64.56,2.50,nan
2.85,3.10,-5.35,-64.56,2.53,nan
2.83,3.08,-5.40,-53.80,2.46,nan
2.81,3.07,-5.52,-45.73,2.50,nan
2.79,3.05,-5.64,-51.11,2.52,nan
2.77,3.03,-5.85,-48.42,2.47,nan
2.76,3.01,-6.00,-37.66,2.60,nan
2.74,2.99,-6.21,-43.04,2.42,nan
2.73,2.97,-6.35,-45.73,2.51,nan
2.71,2.94,-6.59,-45.73,3.15,nan
2.70,2.93,-6.64,-37.66,1.86,nan
2.69,2.91,-6.81,-48.42,2.52,nan
2.68,2.89,-6.91,-37.66,2.47,nan
2.67,2.87,-7.00,-37.66,2.47,nan
2.66,2.85,-7.07,-45.73,2.51,nan
2.66,2.83,-7.17,-40.35,2.49,nan
2.65,2.81,-7.22,-34.97,2.50,nan
2.65,2.79,-7.29,-43.04,2.56,nan
2.64,2.77,-7.34,-43.04,2.46,nan
2.64,2.75,-7.39,-34.97,2.50,nan
2.64,2.74,-7.43,-43.04,2.49,nan
2.64,2.72,-7.46,-43.04,2.50,nan
2.64,2.70,-7.48,-34.97,2.52,nan
2.65,2.68,-7.53,330.87,2.46,nan
2.65,2.66,-7.53,1089.45,2.50,nan
2.66,2.65,-7.55,1444.53,2.52,nan
2.67,2.64,-7.53,1484.88,2.53,nan
2.68,2.64,-7.43,1385.35,2.45,nan
2.69,2.65,-7.31,1116.35,2.50,nan
2.70,2.65,-7.05,823.14,2.50,nan
2.71,2.66,-6.81,642.91,2.49,nan
2.72,2.68,-6.33,408.88,2.50,nan
2.74,2.69,-5.97,349.70,2.57,nan
2.74,2.70,-5.32,174.85,2.45,nan
2.77,2.72,-4.58,-489.58,2.63,nan
2.79,2.73,-4.03,365.84,2.63,nan
2.81,2.74,-3.45,513.79,2.54,nan
2.83,2.76,-2.54,414.26,2.19,nan
2.85,2.77,-1.92,303.97,2.52,nan
2.87,2.79,-0.98,223.27,2.48,nan
2.89,2.81,-0.36,158.71,2.50,nan
2.91,2.83,0.53,110.29,2.48,nan
2.94,2.85,1.10,72.63,2.56,nan
2.94,2.87,1.89,61.87,2.43,nan
2.99,2.89,2.37,26.90,2.50,nan
3.01,2.91,3.05,29.59,2.48,nan
3.04,2.93,3.45,45.73,2.50,nan
3.06,2.95,4.00,48.42,2.50,nan
3.09,2.97,4.34,34.97,2.52,nan
3.11,2.98,4.80,26.90,2.48,nan
3.14,3.01,5.08,29.59,2.52,nan
3.17,3.02,5.47,32.28,2.47,nan
3.19,3.04,5.68,18.83,2.51,nan
3.22,3.06,6.00,26.90,2.50,nan
3.25,3.08,6.16,29.59,2.53,nan
3.27,3.10,6.40,18.83,2.46,nan
3.30,3.12,6.55,24.21,2.50,nan
3.32,3.14,6.71,29.59,2.51,nan
3.35,3.16,6.81,21.52,2.51,nan
3.37,3.18,6.93,18.83,2.48,nan
3.39,3.20,7.00,32.28,2.52,nan
3.42,3.21,7.10,21.52,2.49,nan
3.44,3.23,7.17,18.83,2.50,nan
3.46,3.25,7.22,26.90,2.48,nan
3.48,3.27,7.27,26.90,2.52,nan
3.50,3.29,7.31,16.14,2.48,nan
3.52,3.31,7.36,24.21,2.53,nan
3.53,3.33,7.39,29.59,2.48,nan
3.55,3.35,7.41,18.83,2.52,nan
3.56,3.37,7.43,24.21,2.47,nan
3.58,3.39,7.46,29.59,2.52,nan
3.59,3.41,7.48,21.52,2.47,nan
3.60,3.43,7.48,18.83,2.50,nan
3.61,3.45,7.51,29.59,2.49,nan
3.62,3.47,7.51,24.21,2.51,nan
3.63,3.48,7.53,18.83,2.50,nan
3.63,3.51,7.53,26.90,2.55,nan
3.64,3.52,7.53,26.90,2.44,nan
3.64,3.54,7.55,16.14,2.56,nan
3.64,3.56,7.55,21.52,2.45,nan
3.64,3.58,7.55,26.90,2.49,nan
3.64,3.60,7.55,-137.19,2.51,nan
3.64,3.62,7.55,-728.99,2.50,nan
3.63,3.63,7.55,-1347.69,2.50,nan
3.62,3.64,7.53,-1455.29,2.50,nan
3.62,3.64,7.46,-1377.28,2.51,nan
3.61,3.64,7.34,-1175.53,2.49,nan
3.60,3.64,7.12,-992.61,2.50,nan
3.59,3.63,6.91,-755.89,2.50,nan
3.57,3.62,6.50,-559.52,2.48,nan
3.56,3.61,6.16,-338.94,2.52,nan
3.54,3.60,5.78,-395.43,2.47,nan
3.53,3.58,5.11,-250.17,2.50,nan
3.51,3.56,4.34,-193.68,2.50,nan
3.49,3.55,3.79,-234.03,2.52,nan
3.47,3.53,2.90,-250.17,2.54,nan
3.44,3.51,2.25,-207.13,2.47,nan
3.42,3.50,1.29,-177.54,2.49,nan
3.40,3.48,0.65,-158.71,2.54,nan
3.37,3.46,-0.26,-131.81,2.44,nan
3.35,3.44,-0.86,-102.22,2.54,nan
3.32,3.42,-1.70,-75.32,2.46,nan
3.30,3.40,-2.21,-64.56,2.53,nan
3.27,3.38,-2.93,-64.56,2.46,nan
3.24,3.36,-3.36,-45.73,2.52,nan
3.22,3.34,-3.96,-43.04,2.48,nan
3.19,3.32,-4.29,-51.11,2.50,nan
3.16,3.30,-4.77,-43.04,2.50,nan
3.13,3.28,-5.06,-37.66,2.52,nan
3.10,3.27,-5.32,-37.66,2.47,nan
3.07,3.25,-5.66,-43.04,2.53,nan
3.05,3.23,-5.97,-34.97,2.47,nan
3.02,3.21,-6.14,-43.04,2.52,nan
2.99,3.19,-6.31,-43.04,2.47,nan
2.97,3.17,-6.50,-34.97,2.52,nan
2.94,3.15,-6.69,-37.66,2.48,nan
2.91,3.13,-6.79,-45.73,2.53,nan
2.88,3.11,-6.91,-34.97,2.48,nan
2.86,3.09,-7.00,-37.66,2.86,nan
2.84,3.07,-7.10,-45.73,2.18,nan
2.82,3.06,-7.15,-34.97,2.48,nan
2.80,3.04,-7.22,-37.66,2.48,nan
2.78,3.02,-7.27,-45.73,2.52,nan
2.76,3.00,-7.31,-43.04,2.47,nan
2.74,2.98,-7.36,-32.28,2.55,nan
2.72,2.96,-7.41,-43.04,2.50,nan
2.71,2.94,-7.43,-43.04,2.46,nan
2.70,2.92,-7.46,-32.28,2.49,nan
2.68,2.90,-7.48,-43.04,2.51,nan
2.67,2.88,-7.51,-43.04,2.50,nan
2.66,2.86,-7.53,-34.97,2.52,nan
2.66,2.84,-7.55,-37.66,2.47,nan
2.65,2.82,-7.55,-45.73,2.54,nan
2.64,2.80,-7.58,-32.28,2.45,nan
2.64,2.78,-7.58,-34.97,2.54,nan
2.64,2.76,-7.60,-45.73,2.46,nan
2.64,2.74,-7.60,-37.66,2.53,nan
2.64,2.72,-7.63,-34.97,2.49,nan
2.65,2.70,-7.63,-43.04,2.51,nan
2.66,2.68,-7.63,244.79,2.47,nan
2.66,2.67,-7.65,1016.82,2.52,nan
2.67,2.66,-7.63,1522.54,2.48,nan
2.68,2.65,-7.60,1735.05,2.50,nan
2.69,2.65,-7.48,1484.88,2.52,nan
2.71,2.66,-7.36,1261.61,2.49,nan
2.72,2.67,-7.07,1016.82,2.50,nan
2.74,2.68,-6.81,745.13,2.50,nan
2.76,2.70,-6.31,524.55,2.51,nan
2.78,2.71,-5.90,379.29,2.69,nan
2.80,2.75,-4.39,-360.46,2.46,nan
2.84,2.76,-4.10,-384.67,4.75,nan
2.87,2.77,-3.50,158.71,1.07,nan
2.87,2.78,-3.17,287.83,1.52,nan
2.89,2.79,-2.18,239.41,2.54,nan
2.92,2.81,-1.49,172.16,2.46,nan
2.95,2.83,-0.48,115.67,2.51,nan
2.97,2.85,0.17,78.01,2.62,nan
3.00,2.87,1.15,67.25,2.37,nan
3.03,2.90,2.01,45.73,2.53,nan
3.06,2.91,2.57,34.97,2.47,nan
3.09,2.93,3.07,40.35,2.50,nan
3.12,2.95,3.74,40.35,2.49,nan
3.12,2.97,4.12,26.90,2.52,nan
3.15,2.99,4.65,26.90,2.61,nan
3.21,3.01,4.96,32.28,2.40,nan
3.24,3.03,5.35,24.21,2.48,nan
3.27,3.04,5.61,24.21,2.50,nan
3.30,3.06,5.92,32.28,2.50,nan
3.33,3.08,6.12,24.21,2.51,nan
3.35,3.10,6.35,21.52,2.53,nan
3.38,3.12,6.50,26.90,2.46,nan
3.41,3.14,6.69,24.21,2.76,nan
3.43,3.16,6.79,18.83,2.23,nan
3.45,3.18,6.93,26.90,2.49,nan
3.48,3.20,7.00,29.59,2.53,nan
3.50,3.22,7.10,16.14,2.52,nan
3.52,3.24,7.15,24.21,2.46,nan
3.54,3.26,7.22,32.28,2.50,nan
3.56,3.27,7.27,24.21,2.50,nan
3.57,3.29,7.31,21.52,2.48,nan
3.59,3.31,7.36,32.28,2.53,nan
3.60,3.33,7.39,24.21,2.48,nan
3.61,3.35,7.41,18.83,2.50,nan
3.62,3.37,7.43,29.59,2.53,nan
3.62,3.39,7.46,26.90,2.48,nan
3.64,3.41,7.48,21.52,2.51,nan
3.64,3.43,7.48,24.21,2.53,nan
3.64,3.45,7.51,29.59,2.47,nan
3.64,3.47,7.51,18.83,2.50,nan
3.64,3.49,7.53,24.21,2.48,nan
3.64,3.51,7.53,32.28,2.53,nan
3.63,3.53,7.55,18.83,2.49,nan
3.62,3.55,7.55,21.52,2.49,nan
3.62,3.56,7.55,32.28,2.48,nan
3.60,3.58,7.55,-336.25,2.48,nan
3.59,3.60,7.55,-1379.97,2.50,nan
3.58,3.61,7.55,-1864.17,2.58,nan
3.56,3.61,7.48,-1915.28,2.43,nan
3.54,3.60,7.39,-1708.15,2.55,nan
3.52,3.59,7.03,-1043.72,2.46,nan
3.50,3.58,6.91,-804.31,2.49,nan
3.48,3.57,6.45,-527.24,2.88,nan
3.46,3.54,5.64,-247.48,4.32,nan
3.35,3.49,3.72,295.90,6.61,nan
3.35,3.47,3.07,-86.08,2.60,nan
3.32,3.45,2.06,-204.44,2.50,nan
3.29,3.44,1.37,-153.33,2.50,nan
3.26,3.41,0.31,-118.36,2.59,nan
3.22,3.40,-0.36,-96.84,2.39,nan
3.20,3.38,-1.32,-75.32,2.51,nan
3.14,3.36,-1.94,-56.49,2.48,nan
3.14,3.34,-2.76,-59.18,2.51,nan
3.11,3.32,-3.48,-43.04,2.71,nan
3.08,3.30,-3.91,-43.04,2.30,nan
3.04,3.28,-4.46,-51.11,2.60,nan
3.01,3.26,-4.80,-51.11,2.40,nan
2.98,3.24,-5.08,-34.97,2.50,nan
2.95,3.23,-5.47,-37.66,2.48,nan
2.93,3.21,-5.68,-48.42,2.50,nan
2.90,3.19,-6.00,-37.66,2.51,nan
2.87,3.16,-6.24,-43.04,2.77,nan
2.84,3.14,-6.38,-43.04,2.40,nan
2.82,3.13,-6.52,-40.35,2.31,nan
2.79,3.11,-6.69,-29.59,2.49,nan
2.77,3.09,-6.81,-43.04,2.49,nan
2.75,3.07,-6.93,-43.04,2.50,nan
2.73,3.05,-7.00,-34.97,2.56,nan
2.72,3.03,-7.12,-40.35,2.46,nan
2.70,3.01,-7.19,-32.28,2.55,nan
2.69,3.00,-7.24,-32.28,2.46,nan
2.67,2.97,-7.29,-37.66,2.46,nan
2.66,2.95,-7.34,-45.73,2.52,nan
2.66,2.94,-7.39,-37.66,2.48,nan
2.65,2.92,-7.41,-37.66,2.51,nan
2.64,2.89,-7.46,-45.73,2.50,nan
2.64,2.88,-7.48,-34.97,2.50,nan
2.64,2.86,-7.51,-34.97,2.49,nan
2.64,2.84,-7.53,-43.04,2.52,nan
2.65,2.82,-7.55,-40.35,2.48,nan
