setpoint[rad],position[rad],velocity[rad/s],acceleration[rad/s^2],current[mA],delta_t [ms]
3.23,3.59,5.35,nan,-833.90,2.49
3.23,3.58,4.70,nan,-540.69,2.50
3.23,3.56,4.22,nan,-357.77,2.50
3.23,3.54,3.43,nan,-231.34,2.68
3.23,3.52,2.85,nan,-158.71,2.32
3.23,3.51,1.94,nan,-121.05,2.62
3.23,3.48,1.34,nan,-102.22,2.37
3.23,3.47,0.46,nan,-67.25,2.52
3.23,3.45,-0.12,nan,-61.87,2.48
3.23,3.43,-0.96,nan,-64.56,2.52
3.23,3.41,-1.51,nan,-48.42,2.49
3.23,3.39,-2.30,nan,-40.35,2.50
3.23,3.37,-2.81,nan,-48.42,2.53
3.23,3.35,-3.50,nan,-45.73,2.48
3.23,3.33,-3.93,nan,-34.97,2.61
3.23,3.31,-4.48,nan,-43.04,2.38
2.75,3.29,-4.82,nan,-45.73,2.49
2.75,3.27,-5.28,nan,-34.97,2.51
2.75,3.25,-5.52,nan,-37.66,2.49
2.75,3.24,-5.85,nan,-48.42,2.50
2.75,3.22,-6.04,nan,-32.28,2.51
2.75,3.20,-6.31,nan,-34.97,2.50
2.75,3.18,-6.45,nan,-45.73,2.49
2.75,3.16,-6.62,nan,-37.66,2.51
2.75,3.14,-6.74,nan,-34.97,2.50
2.75,3.12,-6.88,nan,-43.04,2.52
2.75,3.10,-6.95,nan,-43.04,2.50
2.75,3.08,-7.05,nan,-32.28,2.48
2.75,3.06,-7.12,nan,-43.04,2.50
2.75,3.04,-7.19,nan,-45.73,2.52
2.75,3.02,-7.24,nan,-34.97,2.46
2.75,3.00,-7.31,nan,-37.66,2.50
2.75,2.98,-7.34,nan,-45.73,2.52
2.75,2.97,-7.39,nan,-34.97,2.50
2.75,2.95,-7.41,nan,-37.66,2.50
2.75,2.93,-7.46,nan,-48.42,2.49
2.75,2.91,-7.48,nan,-34.97,2.51
2.68,2.89,-7.51,nan,-37.66,2.49
2.68,2.87,-7.53,nan,-43.04,2.54
2.68,2.85,-7.55,nan,-40.35,2.45
2.68,2.83,-7.55,nan,-34.97,2.51
2.68,2.81,-7.58,nan,-45.73,2.52
2.68,2.79,-7.58,nan,-40.35,2.48
2.68,2.77,-7.60,nan,-34.97,2.52
2.68,2.75,-7.60,nan,-40.35,2.47
2.68,2.73,-7.63,nan,-21.52,2.52
2.68,2.71,-7.63,nan,433.09,2.48
2.68,2.70,-7.63,nan,952.26,2.52
2.68,2.68,-7.63,nan,1210.50,2.48
2.68,2.68,-7.58,nan,1145.94,2.50
2.68,2.67,-7.51,nan,925.36,2.50
2.68,2.67,-7.36,nan,616.01,2.49
2.68,2.67,-7.19,nan,384.67,2.50
2.68,2.67,-6.91,nan,166.78,2.50
2.68,2.68,-6.64,nan,40.35,2.50
2.68,2.68,-6.24,nan,-91.46,2.51
3.10,2.68,-5.90,nan,-123.74,2.49
3.10,2.68,-5.37,nan,1369.21,2.55
3.10,2.69,-4.99,nan,1299.27,2.44
3.10,2.71,-4.36,nan,852.73,2.54
3.10,2.72,-3.88,nan,543.38,2.47
3.10,2.74,-3.12,nan,357.77,2.50
3.10,2.76,-2.59,nan,242.10,2.52
3.10,2.77,-1.77,nan,156.02,2.48
3.10,2.79,-1.22,nan,107.60,2.50
3.10,2.81,-0.43,nan,86.08,2.51
3.10,2.83,0.07,nan,64.56,2.50
3.10,2.85,0.84,nan,40.35,2.49
3.10,2.87,1.34,nan,43.04,2.50
3.10,2.89,2.06,nan,40.35,2.50
3.10,2.91,2.54,nan,32.28,2.50
3.10,2.93,3.24,nan,29.59,2.51
3.10,2.95,3.67,nan,34.97,2.49
3.10,2.97,4.27,nan,21.52,2.71
3.10,2.98,4.63,nan,18.83,2.32
3.10,3.01,5.11,nan,29.59,2.47
3.56,3.02,5.37,nan,26.90,2.49
3.56,3.04,5.76,nan,21.52,2.52
3.56,3.06,5.95,nan,24.21,2.50
3.56,3.08,6.24,nan,32.28,2.47
3.56,3.10,6.40,nan,18.83,2.52
3.56,3.12,6.59,nan,24.21,2.51
3.56,3.14,6.71,nan,32.28,2.50
3.56,3.16,6.86,nan,21.52,2.50
3.56,3.18,6.95,nan,26.90,2.50
3.56,3.20,7.05,nan,32.28,2.49
3.56,3.22,7.12,nan,24.21,2.51
3.56,3.23,7.19,nan,18.83,2.50
3.56,3.25,7.24,nan,29.59,2.49
3.56,3.27,7.29,nan,24.21,2.52
3.56,3.29,7.34,nan,18.83,2.47
3.56,3.31,7.36,nan,26.90,2.50
3.56,3.33,7.39,nan,26.90,2.50
3.56,3.35,7.43,nan,18.83,2.52
3.56,3.37,7.43,nan,26.90,2.53
3.56,3.39,7.46,nan,32.28,2.49
3.56,3.41,7.48,nan,18.83,2.48
3.57,3.43,7.48,nan,24.21,2.50
3.57,3.45,7.51,nan,32.28,2.51
3.57,3.47,7.51,nan,21.52,2.49
3.57,3.49,7.53,nan,21.52,2.51
3.57,3.51,7.53,nan,29.59,2.50
3.57,3.53,7.55,nan,-26.90,2.49
3.57,3.54,7.55,nan,-562.21,2.52
3.57,3.56,7.55,nan,-1008.75,2.49
3.57,3.57,7.53,nan,-1186.29,2.54
3.57,3.58,7.51,nan,-1127.11,2.50
3.57,3.58,7.39,nan,-879.63,2.45
3.57,3.58,7.27,nan,-605.25,2.50
3.57,3.58,7.03,nan,-360.46,2.50
3.57,3.58,6.81,nan,-121.05,2.48
3.57,3.57,6.45,nan,-8.07,2.50
3.57,3.57,6.14,nan,72.63,2.52
3.57,3.57,5.66,nan,174.85,2.49
3.57,3.57,5.32,nan,139.88,2.51
3.57,3.57,4.75,nan,115.67,2.50
3.57,3.57,4.36,nan,86.08,2.53
3.10,3.57,3.76,nan,56.49,2.83
3.10,3.57,3.38,nan,-1307.34,2.15
3.10,3.56,2.81,nan,-1538.68,2.52
3.10,3.55,2.45,nan,-1032.96,2.47
3.10,3.54,1.89,nan,-664.43,2.52
3.10,3.52,1.53,nan,-430.40,2.49
3.10,3.50,0.98,nan,-293.21,2.50
3.10,3.48,0.62,nan,-209.82,2.50
3.10,3.47,0.07,nan,-134.50,2.50
3.10,3.45,-0.26,nan,-104.91,2.50
3.10,3.43,-0.84,nan,-91.46,2.51
3.10,3.41,-1.22,nan,-72.63,2.50
3.10,3.39,-1.82,nan,-53.80,2.50
3.10,3.37,-2.21,nan,-56.49,2.49
3.10,3.35,-2.83,nan,-56.49,2.51
3.10,3.33,-3.26,nan,-43.04,2.50
3.10,3.31,-3.86,nan,-43.04,2.52
3.10,3.29,-4.22,nan,-51.11,2.50
3.10,3.27,-4.72,nan,-37.66,2.54
3.10,3.26,-5.04,nan,-37.66,2.48
2.67,3.24,-5.44,nan,-48.42,2.52
2.67,3.22,-5.66,nan,-34.97,2.44
2.67,3.20,-5.97,nan,-37.66,2.52
2.67,3.18,-6.16,nan,-43.04,2.48
2.67,3.16,-6.38,nan,-43.04,2.50
2.67,3.14,-6.52,nan,-29.59,2.49
2.67,3.12,-6.69,nan,-40.35,2.52
2.67,3.10,-6.81,nan,-43.04,2.49
2.67,3.08,-6.93,nan,-32.28,2.50
2.67,3.06,-7.00,nan,-37.66,2.50
2.67,3.04,-7.10,nan,-43.04,2.50
2.67,3.03,-7.17,nan,-34.97,2.52
2.67,3.01,-7.24,nan,-34.97,2.49
2.67,2.99,-7.29,nan,-48.42,2.51
2.67,2.97,-7.34,nan,-34.97,2.51
2.67,2.95,-7.36,nan,-34.97,2.48
2.67,2.93,-7.41,nan,-48.42,2.50
2.67,2.91,-7.43,nan,-34.97,2.49
2.67,2.89,-7.48,nan,-32.28,2.53
2.78,2.87,-7.51,nan,-45.73,2.49
2.78,2.85,-7.53,nan,306.66,2.49
2.78,2.83,-7.53,nan,-147.95,2.51
2.78,2.81,-7.55,nan,516.48,3.52
2.78,2.79,-7.55,nan,893.08,1.45
2.78,2.78,-7.53,nan,1097.52,2.52
2.78,2.78,-7.51,nan,1094.83,2.51
2.78,2.77,-7.39,nan,922.67,2.56
2.78,2.77,-7.29,nan,648.29,2.44
2.78,2.77,-7.05,nan,392.74,2.52
2.78,2.77,-6.86,nan,201.75,2.49
2.78,2.78,-6.47,nan,18.83,2.49
2.78,2.78,-6.21,nan,-75.32,2.50
2.78,2.78,-5.73,nan,-147.95,2.52
2.78,2.78,-5.37,nan,-137.19,2.46
2.78,2.78,-4.82,nan,-126.43,2.50
2.78,2.78,-4.44,nan,-96.84,2.51
2.78,2.78,-3.86,nan,-48.42,2.54
2.78,2.78,-3.48,nan,0.00,2.45
2.78,2.78,-2.90,nan,29.59,2.52
2.78,2.78,-2.57,nan,16.14,2.50
3.31,2.78,-2.11,nan,5.38,2.51
3.31,2.78,-1.82,nan,1541.37,2.49
3.31,2.79,-1.46,nan,1388.04,2.63
3.31,2.80,-1.25,nan,911.91,2.36
3.31,2.82,-0.91,nan,581.04,2.52
3.31,2.83,-0.67,nan,368.53,2.47
3.31,2.85,-0.29,nan,244.79,2.52
3.31,2.87,-0.02,nan,174.85,2.50
3.31,2.89,0.41,nan,123.74,2.49
3.31,2.91,0.72,nan,78.01,2.50
3.31,2.93,1.22,nan,64.56,2.49
3.31,2.95,1.56,nan,59.18,2.48
3.31,2.97,2.13,nan,43.04,2.51
3.31,2.98,2.52,nan,32.28,2.49
3.31,3.01,3.12,nan,40.35,2.50
3.31,3.02,3.53,nan,34.97,2.51
3.31,3.04,4.08,nan,21.52,2.51
3.31,3.06,4.44,nan,29.59,2.51
3.31,3.08,4.92,nan,32.28,2.62
3.31,3.10,5.20,nan,18.83,2.36
3.64,3.12,5.59,nan,26.90,2.48
3.64,3.14,5.80,nan,32.28,2.50
3.64,3.16,6.09,nan,18.83,2.50
3.64,3.18,6.26,nan,21.52,2.51
3.64,3.20,6.50,nan,24.21,3.03
3.64,3.22,6.62,nan,24.21,1.98
3.64,3.23,6.79,nan,18.83,2.52
3.64,3.25,6.88,nan,29.59,2.48
3.64,3.28,6.98,nan,18.83,2.79
3.64,3.29,7.05,nan,21.52,2.22
3.64,3.31,7.15,nan,26.90,2.51
3.64,3.33,7.19,nan,26.90,2.50
3.64,3.35,7.27,nan,18.83,2.50
3.64,3.37,7.29,nan,26.90,2.48
3.64,3.39,7.34,nan,29.59,2.50
3.64,3.41,7.36,nan,18.83,2.51
3.64,3.43,7.41,nan,24.21,2.50
3.64,3.45,7.43,nan,32.28,2.49
3.64,3.47,7.46,nan,18.83,2.49
3.64,3.49,7.46,nan,21.52,2.51
3.38,3.51,7.48,nan,29.59,2.50
3.38,3.53,7.48,nan,-2601.23,5.71
3.38,3.52,7.39,nan,-1700.08,2.57
3.38,3.51,7.24,nan,-1070.62,2.50
3.38,3.49,6.91,nan,-680.57,2.51
3.38,3.48,6.62,nan,-443.85,2.48
3.38,3.46,6.04,nan,-279.76,2.59
3.38,3.44,5.35,nan,-182.92,2.44
3.38,3.42,4.82,nan,26.90,2.46
3.38,3.40,3.93,nan,688.64,2.51
3.38,3.39,3.31,nan,1049.10,2.48
3.38,3.38,2.66,nan,1154.01,2.51
3.38,3.37,1.68,nan,1030.27,2.53
3.38,3.37,1.03,nan,788.17,2.46
3.38,3.37,0.12,nan,527.24,2.51
3.38,3.37,-0.38,nan,263.62,2.49
3.38,3.38,-1.03,nan,53.80,2.54
3.38,3.38,-1.37,nan,-18.83,2.47
3.38,3.38,-1.70,nan,-107.60,2.49
2.83,3.38,-1.85,nan,-83.39,2.52
2.83,3.38,-1.94,nan,-1659.73,2.47
2.83,3.37,-1.92,nan,-1487.57,2.53
2.83,3.36,-1.85,nan,-987.23,2.47
2.83,3.35,-1.80,nan,-632.15,2.52
2.83,3.33,-1.70,nan,-411.57,2.48
2.83,3.31,-1.68,nan,-274.38,2.50
2.83,3.30,-1.70,nan,-199.06,2.50
2.83,3.28,-1.75,nan,-145.26,2.49
2.83,3.26,-1.94,nan,-99.53,2.51
2.83,3.24,-2.11,nan,-83.39,2.49
2.83,3.22,-2.42,nan,-69.94,2.69
2.83,3.20,-2.83,nan,-51.11,2.35
2.83,3.18,-3.14,nan,-48.42,2.50
2.83,3.16,-3.45,nan,-53.80,2.49
2.83,3.14,-3.96,nan,-48.42,2.46
2.83,3.12,-4.29,nan,-37.66,2.51
2.83,3.11,-4.75,nan,-43.04,2.53
2.83,3.09,-5.04,nan,-45.73,2.46
2.83,3.07,-5.44,nan,-32.28,2.51
2.66,3.05,-5.66,nan,-37.66,2.55
2.66,3.03,-5.97,nan,-45.73,2.44
2.66,3.01,-6.16,nan,-34.97,2.50
2.66,2.99,-6.40,nan,-34.97,2.50
2.66,2.97,-6.55,nan,-48.42,2.49
2.66,2.95,-6.71,nan,-37.66,2.53
2.66,2.93,-6.86,nan,-43.04,2.51
2.66,2.91,-6.95,nan,-48.42,2.46
2.66,2.89,-7.03,nan,-43.04,2.52
