setpoint [rad], position [rad], velocity [rad/s], acceleration [rad/s^2], current [mA], delta_t [ms]
3.19, 3.28, 2.11, nan, -169.47, 2.48
3.19, 3.26, 1.56, nan, -121.05, 2.51
3.19, 3.24, 0.72, nan, -86.08, 2.55
3.19, 3.22, 0.19, nan, 298.59, 2.48
3.19, 3.21, -0.58, nan, 801.62, 2.49
3.19, 3.20, -1.08, nan, 1073.31, 2.46
3.19, 3.19, -1.77, nan, 1100.21, 2.59
3.19, 3.18, -2.18, nan, 903.84, 2.46
3.19, 3.18, -2.73, nan, 661.74, 2.47
3.19, 3.18, -3.02, nan, 398.12, 2.48
3.19, 3.18, -3.36, nan, 169.47, 2.50
3.19, 3.19, -3.48, nan, 40.35, 2.50
3.19, 3.19, -3.55, nan, -56.49, 2.50
3.09, 3.19, -3.50, nan, -88.77, 2.50
3.09, 3.19, -3.38, nan, -1657.04, 2.51
3.09, 3.18, -3.24, nan, -1479.50, 2.50
3.09, 3.17, -3.00, nan, -963.02, 2.48
3.09, 3.16, -2.85, nan, -610.63, 2.50
3.09, 3.14, -2.64, nan, -341.63, 2.50
3.09, 3.12, -2.54, nan, 285.14, 2.51
3.09, 3.11, -2.45, nan, 731.68, 2.49
3.09, 3.10, -2.42, nan, 946.88, 2.50
3.09, 3.09, -2.45, nan, 957.64, 2.51
3.09, 3.09, -2.47, nan, 801.62, 2.50
3.09, 3.08, -2.57, nan, 610.63, 2.57
3.09, 3.09, -2.61, nan, 387.36, 2.44
3.09, 3.09, -2.71, nan, 158.71, 2.51
3.09, 3.09, -2.76, nan, 32.28, 2.49
3.09, 3.09, -2.81, nan, -34.97, 2.50
3.09, 3.09, -2.78, nan, -75.32, 2.49
3.09, 3.09, -2.71, nan, -115.67, 2.56
3.09, 3.09, -2.61, nan, -88.77, 2.47
3.09, 3.09, -2.42, nan, -99.53, 2.46
2.55, 3.10, -2.23, nan, -45.73, 2.46
2.55, 3.09, -1.94, nan, -1554.82, 2.54
2.55, 3.08, -1.75, nan, -1382.66, 2.60
2.55, 3.07, -1.49, nan, -909.22, 2.44
2.55, 3.06, -1.37, nan, -581.04, 2.46
2.55, 3.04, -1.29, nan, -376.60, 2.47
2.55, 3.02, -1.29, nan, -244.79, 2.50
2.55, 3.01, -1.39, nan, -169.47, 2.50
2.55, 2.99, -1.53, nan, -129.12, 2.53
2.55, 2.97, -1.80, nan, -107.60, 2.51
2.55, 2.95, -2.01, nan, -78.01, 2.50
2.55, 2.93, -2.40, nan, -61.87, 2.50
2.55, 2.91, -2.69, nan, -64.56, 2.50
2.55, 2.89, -3.14, nan, -59.18, 2.48
2.55, 2.87, -3.48, nan, -45.73, 2.52
2.55, 2.85, -4.00, nan, -45.73, 2.51
2.55, 2.84, -4.34, nan, -53.80, 2.46
2.55, 2.82, -4.80, nan, -48.42, 2.52
2.55, 2.80, -5.08, nan, -37.66, 2.48
2.55, 2.78, -5.44, nan, -45.73, 2.50
3.32, 2.76, -5.66, nan, -48.42, 2.50
3.32, 2.74, -5.95, nan, 3020.87, 2.50
3.32, 2.74, -6.12, nan, 2776.08, 2.52
3.32, 2.75, -6.24, nan, 1786.16, 2.50
3.32, 2.76, -6.21, nan, 1084.07, 2.50
3.32, 2.77, -6.07, nan, 669.81, 2.53
3.32, 2.79, -5.85, nan, 433.09, 2.46
3.32, 2.81, -5.42, nan, 285.14, 2.50
3.32, 2.83, -5.04, nan, 201.75, 2.49
3.32, 2.84, -4.36, nan, 145.26, 2.52
3.32, 2.86, -3.86, nan, 99.53, 2.48
3.32, 2.88, -3.00, nan, 83.39, 2.51
3.32, 2.90, -2.37, nan, 78.01, 2.50
3.32, 2.92, -1.37, nan, 64.56, 2.50
3.32, 2.94, -0.67, nan, 53.80, 2.49
3.32, 2.96, 0.36, nan, 56.49, 2.51
3.32, 2.97, 1.06, nan, 59.18, 2.49
3.32, 2.99, 1.99, nan, 48.42, 2.49
3.32, 3.01, 2.57, nan, 45.73, 2.50
3.32, 3.03, 3.33, nan, 53.80, 2.53
3.92, 3.05, 3.79, nan, 48.42, 2.47
3.92, 3.07, 4.36, nan, 40.35, 2.52
3.92, 3.09, 4.72, nan, 48.42, 2.47
3.92, 3.11, 5.18, nan, 53.80, 2.51
3.92, 3.12, 5.42, nan, 45.73, 2.52
3.92, 3.14, 5.76, nan, 43.04, 2.49
3.92, 3.16, 5.95, nan, 51.11, 2.53
3.92, 3.18, 6.21, nan, 48.42, 2.49
3.92, 3.20, 6.35, nan, 37.66, 2.48
3.92, 3.22, 6.52, nan, 48.42, 2.51
3.92, 3.24, 6.64, nan, 53.80, 2.50
3.92, 3.26, 6.76, nan, 43.04, 2.54
3.92, 3.28, 6.83, nan, 43.04, 2.51
3.92, 3.30, 6.93, nan, 51.11, 2.43
3.92, 3.31, 7.00, nan, 48.42, 2.51
3.92, 3.33, 7.07, nan, 40.35, 2.49
3.92, 3.35, 7.12, nan, 48.42, 2.51
3.92, 3.37, 7.17, nan, 51.11, 2.49
3.92, 3.39, 7.19, nan, 45.73, 2.53
3.92, 3.41, 7.24, nan, 43.04, 2.47
3.39, 3.43, 7.27, nan, 53.80, 2.52
3.39, 3.45, 7.29, nan, -2975.14, 2.54
3.39, 3.45, 7.29, nan, -2805.67, 2.47
3.39, 3.44, 7.22, nan, -1818.44, 2.47
3.39, 3.43, 7.10, nan, -831.21, 2.50
3.39, 3.42, 6.79, nan, -26.90, 2.49
3.39, 3.41, 6.52, nan, 430.40, 2.50
3.39, 3.40, 6.02, nan, 677.88, 2.50
3.39, 3.39, 5.64, nan, 731.68, 2.60
3.39, 3.39, 5.01, nan, 616.01, 2.45
3.39, 3.39, 4.56, nan, 473.44, 2.49
3.39, 3.39, 3.91, nan, 277.07, 2.50
3.39, 3.39, 3.45, nan, 139.88, 2.46
3.39, 3.39, 2.78, nan, 16.14, 2.53
3.39, 3.39, 2.33, nan, -5.38, 2.50
3.39, 3.39, 1.70, nan, -78.01, 2.49
3.39, 3.39, 1.32, nan, -80.70, 2.47
3.39, 3.39, 0.89, nan, -78.01, 2.50
3.39, 3.39, 0.65, nan, -37.66, 2.50
3.39, 3.40, 0.43, nan, -24.21, 2.54
2.52, 3.40, 0.34, nan, -8.07, 2.47
2.52, 3.39, 0.24, nan, -1527.92, 2.51
2.52, 3.39, 0.19, nan, -1382.66, 2.47
2.52, 3.37, 0.14, nan, -893.08, 2.50
2.52, 3.36, 0.05, nan, -567.59, 2.50
2.52, 3.34, -0.10, nan, -371.22, 2.50
2.52, 3.32, -0.24, nan, -258.24, 2.50
2.52, 3.31, -0.53, nan, -182.92, 2.50
2.52, 3.29, -0.77, nan, -123.74, 2.50
2.52, 3.27, -1.15, nan, -94.15, 2.50
2.52, 3.25, -1.46, nan, -78.01, 2.50
2.52, 3.23, -1.92, nan, -72.63, 2.51
2.52, 3.21, -2.28, nan, -53.80, 2.51
2.52, 3.20, -2.81, nan, -51.11, 2.50
2.52, 3.18, -3.17, nan, -53.80, 2.48
2.52, 3.16, -3.72, nan, -48.42, 2.50
2.52, 3.14, -4.08, nan, -40.35, 2.50
2.52, 3.12, -4.56, nan, -48.42, 2.51
2.52, 3.10, -4.87, nan, -51.11, 2.50
2.52, 3.08, -5.28, nan, -37.66, 2.50
2.81, 3.06, -5.52, nan, -43.04, 2.53
2.81, 3.04, -5.80, nan, 10.76, 2.47
2.81, 3.03, -6.00, nan, -72.63, 2.50
2.81, 3.01, -6.24, nan, -64.56, 2.50
2.81, 2.99, -6.35, nan, -56.49, 2.55
2.81, 2.97, -6.55, nan, -61.87, 2.52
2.81, 2.95, -6.64, nan, -48.42, 2.47
2.81, 2.93, -6.76, nan, -45.73, 2.52
2.81, 2.91, -6.86, nan, -51.11, 2.46
2.81, 2.89, -6.95, nan, -51.11, 2.52
2.81, 2.87, -7.00, nan, -40.35, 2.49
2.81, 2.85, -7.07, nan, 94.15, 2.47
2.81, 2.84, -7.12, nan, 583.73, 2.52
2.81, 2.82, -7.17, nan, 1051.79, 2.71
2.81, 2.81, -7.17, nan, 1121.73, 2.30
2.81, 2.81, -7.15, nan, 1041.03, 2.49
2.81, 2.81, -7.10, nan, 785.48, 2.49
2.81, 2.80, -6.93, nan, 543.38, 2.50
2.81, 2.81, -6.79, nan, 287.83, 2.49
2.81, 2.81, -6.50, nan, 107.60, 2.50
2.47, 2.81, -6.26, nan, 0.00, 2.51
2.47, 2.81, -5.83, nan, -1732.36, 2.49
2.47, 2.80, -5.54, nan, -1535.99, 2.54
2.47, 2.79, -5.08, nan, -1006.06, 2.54
2.47, 2.77, -4.80, nan, -634.84, 2.45
2.47, 2.76, -4.39, nan, -411.57, 2.50
2.47, 2.74, -4.15, nan, -266.31, 2.47
2.47, 2.72, -3.88, nan, -182.92, 2.54
2.47, 2.71, -3.74, nan, -137.19, 2.45
2.47, 2.69, -3.65, nan, -107.60, 2.53
2.47, 2.67, -3.62, nan, -75.32, 2.47
2.47, 2.65, -3.72, nan, -64.56, 2.50
2.47, 2.63, -3.81, nan, -64.56, 2.50
2.47, 2.61, -4.08, nan, -59.18, 2.49
2.47, 2.59, -4.29, nan, -45.73, 2.50
2.47, 2.57, -4.65, nan, -45.73, 2.54
2.47, 2.55, -4.92, nan, -53.80, 2.46
2.47, 2.54, -5.28, nan, -40.35, 2.51
2.47, 2.52, -5.52, nan, -43.04, 2.50
2.47, 2.50, -5.80, nan, 322.80, 2.52
2.82, 2.48, -6.00, nan, 855.42, 2.49
2.82, 2.47, -6.21, nan, 2832.57, 2.53
2.82, 2.47, -6.31, nan, 2410.24, 2.47
2.82, 2.48, -6.35, nan, 1522.54, 2.50
2.82, 2.49, -6.28, nan, 946.88, 2.49
2.82, 2.51, -6.04, nan, 594.49, 2.50
2.82, 2.52, -5.80, nan, 376.60, 2.50
2.82, 2.54, -5.30, nan, 250.17, 2.50
2.82, 2.56, -4.89, nan, 180.23, 2.51
2.82, 2.58, -4.17, nan, 137.19, 2.49
2.82, 2.60, -3.62, nan, 96.84, 2.50
2.82, 2.62, -2.73, nan, 78.01, 2.49
2.82, 2.63, -2.09, nan, 75.32, 2.50
2.82, 2.65, -1.06, nan, 61.87, 2.55
2.82, 2.67, -0.36, nan, 48.42, 2.45
2.82, 2.69, 0.67, nan, 56.49, 2.51
2.82, 2.71, 1.34, nan, 56.49, 2.52
2.82, 2.73, 2.25, nan, 45.73, 2.48
2.82, 2.75, 2.81, nan, 45.73, 2.50
2.82, 2.77, 3.55, nan, 53.80, 2.56
3.09, 2.78, 3.98, nan, -172.16, 2.44
3.09, 2.80, 4.56, nan, 24.21, 2.49
3.09, 2.82, 4.89, nan, 118.36, 2.51
3.09, 2.84, 5.30, nan, 107.60, 2.52
3.09, 2.86, 5.54, nan, 88.77, 2.48
3.09, 2.88, 5.85, nan, 64.56, 2.51
3.09, 2.89, 6.02, nan, 61.87, 2.50
3.09, 2.92, 6.26, nan, 61.87, 2.51
3.09, 2.93, 6.40, nan, 51.11, 2.47
3.09, 2.95, 6.57, nan, 45.73, 2.53
3.09, 2.97, 6.67, nan, 51.11, 2.50
3.09, 2.99, 6.79, nan, 56.49, 2.50
3.09, 3.01, 6.86, nan, 43.04, 2.49
3.09, 3.03, 6.95, nan, 45.73, 2.51
3.09, 3.05, 7.00, nan, 5.38, 2.47
3.09, 3.07, 7.07, nan, -524.55, 2.51
3.09, 3.08, 7.10, nan, -976.47, 2.52
3.09, 3.09, 7.15, nan, -1105.59, 2.51
3.09, 3.10, 7.12, nan, -1027.58, 2.47
3.09, 3.10, 7.07, nan, -817.76, 2.53
3.06, 3.10, 6.98, nan, -554.14, 2.45
3.06, 3.10, 6.76, nan, -1557.51, 2.49
3.06, 3.09, 6.57, nan, -946.88, 2.50
3.06, 3.08, 6.19, nan, -220.58, 2.50
3.06, 3.07, 5.85, nan, 244.79, 2.50
3.06, 3.06, 5.32, nan, 492.27, 2.51
3.06, 3.06, 4.92, nan, 637.53, 2.52
3.06, 3.05, 4.24, nan, 602.56, 2.52
3.06, 3.05, 3.79, nan, 481.51, 2.46
3.06, 3.05, 3.09, nan, 290.52, 2.49
3.06, 3.05, 2.64, nan, 169.47, 2.53
3.06, 3.05, 2.01, nan, 59.18, 2.53
3.06, 3.06, 1.63, nan, -34.97, 2.44
3.06, 3.06, 1.13, nan, -75.32, 2.54
3.06, 3.06, 0.84, nan, -69.94, 2.47
3.06, 3.06, 0.50, nan, -45.73, 2.50
3.06, 3.06, 0.34, nan, -21.52, 2.50
3.06, 3.06, 0.14, nan, -16.14, 2.52
3.06, 3.06, 0.07, nan, -10.76, 2.47
3.06, 3.06, 0.02, nan, 2.69, 2.50
3.51, 3.06, 0.02, nan, 2.69, 2.51
3.51, 3.06, 0.02, nan, 1552.13, 2.50
3.51, 3.07, 0.05, nan, 1396.11, 2.53
3.51, 3.08, 0.10, nan, 917.29, 2.45
3.51, 3.09, 0.19, nan, 583.73, 2.50
3.51, 3.11, 0.34, nan, 373.91, 2.49
3.51, 3.13, 0.48, nan, 239.41, 2.51
3.51, 3.14, 0.74, nan, 166.78, 2.49
3.51, 3.16, 0.96, nan, 131.81, 2.52
3.51, 3.18, 1.32, nan, 104.91, 2.54
3.51, 3.20, 1.61, nan, 80.70, 2.50
3.51, 3.22, 2.04, nan, 64.56, 2.44
3.51, 3.24, 2.37, nan, 64.56, 2.50
3.51, 3.26, 2.88, nan, 61.87, 2.50
3.51, 3.27, 3.24, nan, 45.73, 2.52
3.51, 3.29, 3.76, nan, 48.42, 2.48
3.51, 3.31, 4.12, nan, 56.49, 2.49
3.51, 3.33, 4.60, nan, 45.73, 2.50
3.51, 3.35, 4.89, nan, 43.04, 2.50
3.51, 3.37, 5.28, nan, 51.11, 2.50
3.43, 3.39, 5.52, nan, 53.80, 2.58
3.43, 3.41, 5.83, nan, -1412.25, 2.48
3.43, 3.42, 6.00, nan, -839.28, 2.49
3.43, 3.43, 6.16, nan, -831.21, 2.50
3.43, 3.43, 6.24, nan, -737.06, 2.45
3.43, 3.43, 6.28, nan, -661.74, 2.53
3.43, 3.43, 6.24, nan, -441.16, 2.47
3.43, 3.43, 6.12, nan, -258.24, 2.52
3.43, 3.43, 5.97, nan, -123.74, 2.48
3.43, 3.43, 5.68, nan, 18.83, 2.50
3.43, 3.43, 5.44, nan, 126.43, 2.50
3.43, 3.43, 5.04, nan, 104.91, 2.51
3.43, 3.43, 4.72, nan, 78.01, 2.49
3.43, 3.43, 4.24, nan, 45.73, 2.50
3.43, 3.43, 3.88, nan, 56.49, 2.49
3.43, 3.43, 3.36, nan, 67.25, 2.50
3.43, 3.43, 3.02, nan, 24.21, 2.50
3.43, 3.43, 2.54, nan, -5.38, 2.50
3.43, 3.43, 2.23, nan, -18.83, 2.50
3.43, 3.43, 1.85, nan, -10.76, 2.50
3.79, 3.43, 1.61, nan, -2.69, 2.50
3.79, 3.43, 1.32, nan, 1525.23, 2.51
3.79, 3.44, 1.15, nan, 1379.97, 2.48
3.79, 3.45, 1.01, nan, 898.46, 2.58
3.79, 3.47, 0.96, nan, 564.90, 2.44
3.79, 3.48, 0.98, nan, 363.15, 2.50
3.79, 3.50, 1.06, nan, 244.79, 2.50
