setpoint [rad], position [rad], velocity [rad/s], acceleration [rad/s^2], current [mA], delta_t [ms]
1.72, 2.27, -7.65, nan, -40.35, 2.46
1.72, 2.25, -7.65, nan, -43.04, 2.52
1.72, 2.23, -7.65, nan, -51.11, 2.48
1.72, 2.21, -7.67, nan, -32.28, 2.52
1.72, 2.19, -7.67, nan, -34.97, 2.48
1.72, 2.17, -7.67, nan, -51.11, 2.50
1.72, 2.15, -7.67, nan, -43.04, 2.50
1.72, 2.13, -7.70, nan, -37.66, 2.50
1.72, 2.11, -7.70, nan, -48.42, 2.49
1.72, 2.10, -7.70, nan, -45.73, 2.56
1.72, 2.08, -7.72, nan, -32.28, 2.45
1.72, 2.06, -7.72, nan, -45.73, 2.52
1.72, 2.04, -7.72, nan, -45.73, 2.47
1.72, 2.02, -7.75, nan, -34.97, 2.50
1.72, 2.00, -7.75, nan, -40.35, 2.50
1.72, 1.98, -7.75, nan, -51.11, 2.50
1.72, 1.96, -7.75, nan, -37.66, 2.50
1.72, 1.94, -7.75, nan, -34.97, 2.50
1.72, 1.92, -7.77, nan, -51.11, 2.50
1.72, 1.90, -7.77, nan, -40.35, 2.54
1.72, 1.88, -7.77, nan, -37.66, 2.44
1.72, 1.86, -7.77, nan, -48.42, 2.50
1.72, 1.84, -7.77, nan, -45.73, 2.54
1.72, 1.82, -7.77, nan, -37.66, 2.51
1.72, 1.81, -7.77, nan, -45.73, 2.46
1.72, 1.79, -7.77, nan, -48.42, 2.53
1.72, 1.77, -7.77, nan, -37.66, 2.47
1.72, 1.75, -7.77, nan, 373.91, 2.52
1.72, 1.73, -7.77, nan, 936.12, 2.51
1.72, 1.72, -7.77, nan, 1191.67, 2.49
1.72, 1.71, -7.72, nan, 1188.98, 2.53
1.72, 1.71, -7.65, nan, 949.57, 2.45
1.72, 1.71, -7.48, nan, 675.19, 2.49
1.72, 1.71, -7.34, nan, 384.67, 2.52
1.72, 1.71, -7.03, nan, 153.33, 2.49
1.72, 1.71, -6.76, nan, -13.45, 2.52
1.72, 1.71, -6.33, nan, -69.94, 2.49
1.72, 1.71, -6.00, nan, -112.98, 2.52
1.72, 1.72, -5.47, nan, -150.64, 2.46
1.72, 1.72, -5.11, nan, -115.67, 2.53
1.72, 1.72, -4.51, nan, -96.84, 2.47
1.72, 1.72, -4.10, nan, -53.80, 2.52
1.72, 1.72, -3.50, nan, -29.59, 2.49
1.72, 1.72, -3.09, nan, 29.59, 2.52
1.72, 1.72, -2.57, nan, 29.59, 2.49
1.72, 1.72, -2.23, nan, 13.45, 2.51
1.72, 1.72, -1.82, nan, 2.69, 2.48
1.72, 1.72, -1.58, nan, 0.00, 2.50
1.72, 1.72, -1.29, nan, 0.00, 2.49
1.72, 1.72, -1.13, nan, 0.00, 2.54
1.72, 1.72, -0.91, nan, 13.45, 2.46
1.72, 1.72, -0.82, nan, 0.00, 2.53
1.72, 1.72, -0.67, nan, -2.69, 2.47
1.72, 1.72, -0.60, nan, 2.69, 2.53
1.72, 1.72, -0.50, nan, -2.69, 2.53
1.72, 1.72, -0.46, nan, -2.69, 2.47
1.72, 1.72, -0.38, nan, 10.76, 2.50
1.72, 1.72, -0.34, nan, 0.00, 2.48
1.72, 1.72, -0.29, nan, 0.00, 2.55
1.72, 1.72, -0.24, nan, 0.00, 2.45
1.72, 1.72, -0.19, nan, 0.00, 2.49
1.72, 1.72, -0.17, nan, 0.00, 2.54
1.72, 1.72, -0.14, nan, 0.00, 2.46
1.72, 1.72, -0.12, nan, 0.00, 2.51
1.72, 1.72, -0.10, nan, 0.00, 2.50
1.72, 1.72, -0.10, nan, 0.00, 2.52
1.72, 1.72, -0.07, nan, 0.00, 2.46
1.72, 1.72, -0.07, nan, 0.00, 2.52
1.72, 1.72, -0.05, nan, 0.00, 2.48
1.72, 1.72, -0.05, nan, 0.00, 2.49
1.72, 1.72, -0.02, nan, 0.00, 2.50
1.72, 1.72, -0.02, nan, 0.00, 2.50
1.72, 1.72, -0.02, nan, 0.00, 2.51
1.72, 1.72, -0.02, nan, 0.00, 2.50
1.72, 1.72, -0.02, nan, 0.00, 2.49
1.72, 1.72, 0.00, nan, 0.00, 2.51
1.72, 1.72, 0.00, nan, 0.00, 2.49
1.72, 1.72, 0.00, nan, 0.00, 2.52
1.72, 1.72, 0.00, nan, 0.00, 2.50
1.72, 1.72, 0.00, nan, 0.00, 2.48
1.72, 1.72, 0.00, nan, 0.00, 2.49
1.72, 1.71, 0.00, nan, 0.00, 2.50
1.72, 1.72, 0.00, nan, 0.00, 2.50
1.72, 1.72, 0.00, nan, 0.00, 2.55
1.72, 1.72, 0.00, nan, 0.00, 2.44
1.72, 1.72, 0.00, nan, 0.00, 2.51
1.72, 1.72, 0.00, nan, 0.00, 2.51
1.72, 1.72, 0.00, nan, 0.00, 2.51
1.72, 1.72, 0.00, nan, 0.00, 4.09
1.72, 1.72, 0.00, nan, 0.00, 1.23
1.72, 1.72, 0.00, nan, 0.00, 2.15
1.72, 1.72, 0.00, nan, 0.00, 2.53
1.72, 1.72, 0.00, nan, 0.00, 2.47
1.72, 1.72, 0.00, nan, 0.00, 2.53
1.72, 1.72, 0.00, nan, 0.00, 2.54
1.72, 1.72, 0.00, nan, 0.00, 2.43
1.72, 1.72, 0.00, nan, 0.00, 2.50
1.72, 1.72, 0.00, nan, 0.00, 2.51
1.72, 1.72, 0.00, nan, 0.00, 2.49
1.72, 1.72, 0.00, nan, 0.00, 2.53
1.72, 1.72, 0.00, nan, 0.00, 2.46
1.72, 1.72, 0.00, nan, 0.00, 2.51
1.72, 1.72, 0.00, nan, 0.00, 2.50
1.72, 1.72, 0.00, nan, 0.00, 2.51
1.72, 1.72, 0.00, nan, 0.00, 2.48
1.72, 1.72, 0.00, nan, 0.00, 2.52
1.72, 1.72, 0.00, nan, 0.00, 2.48
1.72, 1.72, 0.00, nan, 0.00, 2.55
1.72, 1.72, 0.00, nan, 0.00, 2.46
1.72, 1.72, 0.00, nan, 0.00, 2.49
1.72, 1.72, 0.00, nan, 0.00, 2.55
1.72, 1.72, 0.00, nan, 0.00, 2.45
1.72, 1.72, 0.00, nan, 0.00, 2.54
1.72, 1.72, 0.00, nan, 0.00, 2.46
1.72, 1.72, 0.00, nan, 0.00, 2.51
1.72, 1.72, 0.00, nan, 0.00, 2.55
1.72, 1.72, 0.00, nan, 0.00, 2.47
1.72, 1.72, 0.00, nan, 0.00, 2.52
1.72, 1.72, 0.00, nan, 0.00, 2.45
1.72, 1.72, 0.00, nan, 0.00, 2.52
1.72, 1.72, 0.00, nan, 0.00, 2.47
1.72, 1.72, 0.00, nan, 0.00, 2.60
1.72, 1.72, 0.00, nan, 0.00, 2.44
1.72, 1.72, 0.00, nan, 0.00, 2.46
1.72, 1.72, 0.00, nan, 0.00, 2.50
1.72, 1.72, 0.00, nan, 0.00, 2.49
1.72, 1.72, 0.00, nan, 0.00, 2.51
1.72, 1.72, 0.00, nan, 0.00, 2.54
1.72, 1.72, 0.00, nan, 0.00, 3.27
1.72, 1.72, 0.00, nan, 0.00, 1.71
1.72, 1.72, 0.00, nan, 0.00, 2.48
1.72, 1.72, 0.00, nan, 0.00, 2.52
1.72, 1.72, 0.00, nan, 0.00, 2.46
1.72, 1.72, 0.00, nan, 0.00, 2.54
1.72, 1.72, 0.00, nan, 0.00, 2.51
1.72, 1.72, 0.00, nan, 0.00, 2.47
1.72, 1.72, 0.00, nan, 0.00, 2.51
1.72, 1.72, 0.00, nan, 0.00, 2.48
1.72, 1.72, 0.00, nan, 0.00, 2.56
1.72, 1.72, 0.00, nan, 0.00, 2.43
1.72, 1.72, 0.00, nan, 0.00, 2.51
1.72, 1.72, 0.00, nan, 0.00, 2.51
3.18, 1.72, 0.00, nan, 0.00, 3.07
3.18, 1.72, 0.00, nan, 1371.90, 1.92
3.18, 1.73, 0.00, nan, 1492.95, 2.48
3.18, 1.74, 0.02, nan, 1006.06, 2.54
3.18, 1.75, 0.12, nan, 640.22, 2.45
3.18, 1.77, 0.22, nan, 414.26, 2.54
3.18, 1.78, 0.43, nan, 266.31, 2.50
3.18, 1.80, 0.60, nan, 172.16, 2.50
3.18, 1.82, 0.94, nan, 126.43, 2.51
3.18, 1.84, 1.18, nan, 99.53, 2.48
3.18, 1.86, 1.61, nan, 67.25, 2.50
3.18, 1.88, 1.92, nan, 51.11, 2.49
3.18, 1.89, 2.42, nan, 53.80, 2.54
3.18, 1.91, 2.76, nan, 40.35, 2.46
3.18, 1.93, 3.33, nan, 29.59, 2.49
3.18, 1.95, 3.69, nan, 37.66, 2.51
3.18, 1.97, 4.24, nan, 37.66, 2.50
3.18, 1.99, 4.60, nan, 21.52, 2.52
3.18, 2.01, 5.06, nan, 29.59, 2.47
3.18, 2.03, 5.35, nan, 34.97, 2.52
3.18, 2.05, 5.73, nan, 24.21, 2.49
3.18, 2.07, 5.95, nan, 26.90, 2.52
3.18, 2.09, 6.26, nan, 32.28, 2.47
3.18, 2.11, 6.43, nan, 26.90, 2.50
3.18, 2.13, 6.64, nan, 21.52, 2.49
3.18, 2.14, 6.79, nan, 32.28, 2.51
3.18, 2.16, 6.95, nan, 26.90, 2.51
3.18, 2.19, 7.07, nan, 26.90, 2.93
3.18, 2.20, 7.17, nan, 29.59, 2.07
3.18, 2.22, 7.22, nan, 34.97, 2.51
3.18, 2.24, 7.31, nan, 21.52, 2.49
3.18, 2.26, 7.39, nan, 26.90, 2.50
3.18, 2.28, 7.43, nan, 32.28, 2.53
3.18, 2.30, 7.48, nan, 21.52, 2.47
3.18, 2.32, 7.53, nan, 26.90, 2.49
3.18, 2.34, 7.55, nan, 32.28, 2.50
3.18, 2.36, 7.58, nan, 24.21, 2.50
3.18, 2.38, 7.60, nan, 21.52, 2.51
3.18, 2.40, 7.63, nan, 32.28, 2.49
3.18, 2.42, 7.63, nan, 29.59, 2.53
3.18, 2.43, 7.65, nan, 21.52, 2.49
3.18, 2.45, 7.65, nan, 26.90, 2.48
3.18, 2.47, 7.67, nan, 34.97, 2.55
3.18, 2.49, 7.67, nan, 18.83, 2.46
3.18, 2.51, 7.67, nan, 26.90, 2.47
3.18, 2.53, 7.67, nan, 34.97, 2.56
3.18, 2.55, 7.67, nan, 24.21, 2.45
3.18, 2.57, 7.67, nan, 24.21, 2.48
3.18, 2.59, 7.67, nan, 32.28, 2.51
3.18, 2.61, 7.67, nan, 24.21, 2.52
3.18, 2.63, 7.67, nan, 21.52, 2.50
3.18, 2.65, 7.67, nan, 32.28, 2.50
3.18, 2.67, 7.67, nan, 26.90, 2.55
3.18, 2.69, 7.67, nan, 21.52, 2.45
3.18, 2.71, 7.67, nan, 26.90, 2.49
3.18, 2.72, 7.67, nan, 32.28, 2.50
3.18, 2.74, 7.67, nan, 16.14, 2.52
3.18, 2.76, 7.67, nan, 24.21, 2.50
3.18, 2.78, 7.67, nan, 32.28, 2.47
3.18, 2.80, 7.67, nan, 21.52, 2.52
3.18, 2.82, 7.67, nan, 24.21, 2.51
3.18, 2.87, 7.67, nan, 21.52, 2.52
3.18, 2.87, 7.67, nan, 32.28, 4.40
3.18, 2.88, 7.67, nan, 29.59, 0.99
3.18, 2.90, 7.67, nan, 32.28, 2.10
3.18, 2.92, 7.67, nan, 26.90, 2.52
3.18, 2.94, 7.67, nan, 21.52, 2.48
3.18, 2.96, 7.67, nan, 29.59, 2.50
3.18, 2.98, 7.67, nan, 32.28, 2.48
3.18, 3.00, 7.65, nan, 18.83, 2.50
3.18, 3.02, 7.65, nan, 26.90, 2.52
3.18, 3.04, 7.65, nan, 32.28, 2.50
3.18, 3.05, 7.65, nan, 18.83, 2.52
3.18, 3.07, 7.65, nan, 26.90, 2.52
3.18, 3.09, 7.65, nan, 32.28, 2.46
3.18, 3.11, 7.65, nan, 26.90, 2.51
3.18, 3.13, 7.63, nan, 8.07, 2.46
3.18, 3.15, 7.63, nan, -473.44, 2.50
3.18, 3.16, 7.63, nan, -949.57, 2.52
3.18, 3.18, 7.60, nan, -1188.98, 2.50
3.18, 3.18, 7.55, nan, -1113.66, 2.54
3.18, 3.19, 7.46, nan, -911.91, 2.47
3.18, 3.19, 7.29, nan, -597.18, 2.50
3.18, 3.19, 7.12, nan, -365.84, 2.50
3.18, 3.18, 6.81, nan, -139.88, 2.50
3.18, 3.18, 6.57, nan, 13.45, 2.49
3.18, 3.18, 6.14, nan, 78.01, 2.49
3.18, 3.18, 5.80, nan, 118.36, 2.52
3.18, 3.18, 5.28, nan, 142.57, 2.48
3.18, 3.18, 4.92, nan, 134.50, 2.51
3.18, 3.18, 4.34, nan, 112.98, 2.49
3.18, 3.18, 3.93, nan, 67.25, 2.50
3.18, 3.18, 3.36, nan, 26.90, 2.54
3.18, 3.18, 2.97, nan, 0.00, 2.48
3.18, 3.18, 2.45, nan, -37.66, 2.48
3.18, 3.18, 2.13, nan, -26.90, 2.48
3.18, 3.18, 1.75, nan, -16.14, 2.51
3.18, 3.18, 1.51, nan, -21.52, 2.52
3.18, 3.18, 1.22, nan, -2.69, 2.47
3.18, 3.18, 1.08, nan, -2.69, 2.52
3.18, 3.18, 0.89, nan, -2.69, 2.49
3.18, 3.18, 0.77, nan, -2.69, 2.55
3.18, 3.18, 0.65, nan, -2.69, 2.44
3.18, 3.18, 0.58, nan, -2.69, 2.50
3.18, 3.18, 0.48, nan, -2.69, 2.50
3.18, 3.18, 0.43, nan, -2.69, 2.51
3.18, 3.18, 0.36, nan, -2.69, 2.52
3.18, 3.18, 0.31, nan, -2.69, 2.53
3.18, 3.18, 0.24, nan, -2.69, 4.74
3.18, 3.18, 0.22, nan, -2.69, 0.77
3.18, 3.18, 0.19, nan, -2.69, 1.94
3.18, 3.18, 0.17, nan, -2.69, 2.49
3.18, 3.18, 0.14, nan, -2.69, 3.12
3.18, 3.18, 0.12, nan, -13.45, 1.89
3.18, 3.18, 0.10, nan, 0.00, 2.49
3.18, 3.18, 0.10, nan, 0.00, 2.50
3.18, 3.18, 0.07, nan, 0.00, 2.51
3.18, 3.18, 0.07, nan, 0.00, 2.50
3.18, 3.18, 0.05, nan, 0.00, 2.49
3.18, 3.18, 0.05, nan, 0.00, 2.51
3.18, 3.18, 0.02, nan, 0.00, 2.54
3.18, 3.18, 0.02, nan, 0.00, 2.49
3.18, 3.18, 0.02, nan, 0.00, 2.48
3.18, 3.18, 0.02, nan, 0.00, 2.51
3.18, 3.18, 0.00, nan, 0.00, 2.47
3.18, 3.18, 0.00, nan, 0.00, 2.66
3.18, 3.18, 0.00, nan, 0.00, 2.40
3.18, 3.18, 0.00, nan, -2.69, 2.47
3.18, 3.18, 0.00, nan, 0.00, 2.51
3.18, 3.18, 0.00, nan, 0.00, 2.47
3.18, 3.18, 0.00, nan, 0.00, 2.52
3.18, 3.18, 0.00, nan, 0.00, 2.50
3.18, 3.18, 0.00, nan, 0.00, 2.55
3.18, 3.18, 0.00, nan, 0.00, 2.83
3.18, 3.18, 0.00, nan, 0.00, 2.10
3.18, 3.18, 0.00, nan, 0.00, 2.52
3.18, 3.18, 0.00, nan, 0.00, 2.50
3.18, 3.18, 0.00, nan, 0.00, 2.51
3.18, 3.18, 0.00, nan, -2.69, 2.47
3.18, 3.18, 0.00, nan, 0.00, 2.51
3.18, 3.18, 0.00, nan, 0.00, 2.50
3.18, 3.18, 0.00, nan, 0.00, 2.53
3.18, 3.18, 0.00, nan, 0.00, 2.47
3.18, 3.18, 0.00, nan, 0.00, 2.50
3.18, 3.18, 0.00, nan, 0.00, 2.50
3.18, 3.18, 0.00, nan, 0.00, 2.53
3.18, 3.18, 0.00, nan, 0.00, 2.47
3.18, 3.18, 0.00, nan, 0.00, 2.49
3.18, 3.18, 0.00, nan, 0.00, 2.54
3.18, 3.18, 0.00, nan, 0.00, 2.46
3.18, 3.18, 0.00, nan, 0.00, 2.50
3.18, 3.18, 0.00, nan, 0.00, 2.53
3.18, 3.18, 0.00, nan, 0.00, 2.48
3.18, 3.18, 0.00, nan, 0.00, 2.49
3.18, 3.18, 0.00, nan, -10.76, 2.49
3.18, 3.18, 0.00, nan, -5.38, 2.53
3.18, 3.18, 0.00, nan, 0.00, 2.49
3.18, 3.18, 0.00, nan, 0.00, 2.49
3.18, 3.18, 0.00, nan, 0.00, 2.53
3.18, 3.18, 0.00, nan, 0.00, 2.50
3.18, 3.18, 0.00, nan, 0.00, 2.50
3.18, 3.18, 0.00, nan, 0.00, 2.50
3.18, 3.18, 0.00, nan, 0.00, 2.48
3.18, 3.18, 0.00, nan, 0.00, 2.52
3.18, 3.18, 0.00, nan, 0.00, 2.47
3.18, 3.18, 0.00, nan, 0.00, 2.52
3.18, 3.18, 0.00, nan, 0.00, 2.50
3.18, 3.18, 0.00, nan, 0.00, 2.49
3.18, 3.18, 0.00, nan, 0.00, 2.51
3.18, 3.18, 0.00, nan, 0.00, 3.44
3.18, 3.18, 0.00, nan, 0.00, 1.52
3.18, 3.18, 0.00, nan, 0.00, 2.53
3.18, 3.18, 0.00, nan, 0.00, 2.53
3.18, 3.18, 0.00, nan, 0.00, 2.47
3.18, 3.18, 0.00, nan, 5.38, 2.50
3.18, 3.18, 0.00, nan, 0.00, 2.49
3.18, 3.18, 0.00, nan, 0.00, 2.51
3.18, 3.18, 0.00, nan, 0.00, 2.56
3.18, 3.18, 0.00, nan, 0.00, 2.42
3.18, 3.18, 0.00, nan, 0.00, 2.52
3.18, 3.18, 0.00, nan, 0.00, 2.51
3.18, 3.18, 0.00, nan, 0.00, 2.48
3.18, 3.18, 0.00, nan, 0.00, 2.50
3.18, 3.18, 0.00, nan, 0.00, 2.48
3.18, 3.18, 0.00, nan, 0.00, 2.51
3.18, 3.18, 0.00, nan, 0.00, 3.37
3.18, 3.18, 0.00, nan, 0.00, 2.76
3.18, 3.18, 0.00, nan, 0.00, 1.37
3.18, 3.18, 0.00, nan, 0.00, 2.50
3.18, 3.18, 0.00, nan, 0.00, 2.52
3.18, 3.18, 0.00, nan, 0.00, 2.48
3.18, 3.18, 0.00, nan, 0.00, 2.54
3.18, 3.18, 0.00, nan, 0.00, 2.50
3.18, 3.18, 0.00, nan, 0.00, 2.47
3.18, 3.18, 0.00, nan, 0.00, 2.48
3.18, 3.18, 0.00, nan, 0.00, 2.53
3.18, 3.18, 0.00, nan, 0.00, 2.46
3.18, 3.18, 0.00, nan, 0.00, 2.50
3.18, 3.18, 0.00, nan, 0.00, 2.50
3.18, 3.18, 0.00, nan, 0.00, 2.52
2.51, 3.18, 0.00, nan, 0.00, 2.50
2.51, 3.17, 0.00, nan, -1562.89, 2.56
2.51, 3.17, 0.00, nan, -1412.25, 2.44
2.51, 3.16, -0.02, nan, -936.12, 2.50
2.51, 3.14, -0.14, nan, -602.56, 2.48
2.51, 3.12, -0.24, nan, -387.36, 2.52
2.51, 3.11, -0.46, nan, -255.55, 2.59
2.51, 3.09, -0.74, nan, -180.23, 2.50
2.51, 3.07, -0.96, nan, -142.57, 2.43
2.51, 3.05, -1.22, nan, -94.15, 2.49
2.51, 3.03, -1.63, nan, -78.01, 2.50
2.51, 3.02, -1.94, nan, -72.63, 2.48
2.51, 3.00, -2.45, nan, -61.87, 2.56
2.51, 2.96, -3.14, nan, -45.73, 4.73
2.51, 2.95, -3.53, nan, -45.73, 1.88
2.51, 2.94, -3.69, nan, -53.80, 1.25
2.51, 2.92, -4.24, nan, -40.35, 2.12
2.51, 2.90, -4.58, nan, -43.04, 2.46
2.51, 2.88, -5.04, nan, -51.11, 2.48
2.51, 2.86, -5.30, nan, -34.97, 2.62
2.51, 2.84, -5.66, nan, -37.66, 2.39
2.51, 2.82, -5.88, nan, -51.11, 2.50
2.51, 2.80, -6.16, nan, -40.35, 2.49
2.51, 2.78, -6.33, nan, -37.66, 2.54
2.51, 2.76, -6.55, nan, -48.42, 2.48
2.51, 2.74, -6.67, nan, -48.42, 2.50
2.51, 2.72, -6.83, nan, -40.35, 2.48
2.51, 2.71, -6.93, nan, -48.42, 2.50
2.51, 2.69, -7.05, nan, -45.73, 2.49
2.51, 2.67, -7.10, nan, -32.28, 2.50
2.51, 2.65, -7.19, nan, -34.97, 2.51
2.51, 2.63, -7.24, nan, -51.11, 2.51
2.51, 2.61, -7.31, nan, -40.35, 2.49
2.51, 2.59, -7.36, nan, -37.66, 2.51
2.51, 2.57, -7.41, nan, -51.11, 2.50
2.51, 2.55, -7.43, nan, 83.39, 2.54
2.51, 2.53, -7.46, nan, 632.15, 2.45
2.51, 2.52, -7.48, nan, 1081.38, 2.56
2.51, 2.51, -7.48, nan, 1223.95, 2.50
2.51, 2.50, -7.46, nan, 1084.07, 2.47
2.51, 2.50, -7.34, nan, 807.00, 2.50
2.51, 2.50, -7.22, nan, 554.14, 2.50
2.51, 2.50, -6.98, nan, 274.38, 2.46
2.51, 2.50, -6.76, nan, 69.94, 2.51
2.51, 2.51, -6.38, nan, -29.59, 2.52
2.51, 2.51, -6.09, nan, -131.81, 2.48
2.51, 2.51, -5.59, nan, -164.09, 2.50
2.51, 2.51, -5.23, nan, -110.29, 2.52
2.51, 2.51, -4.68, nan, -64.56, 2.50
2.51, 2.51, -4.29, nan, -88.77, 2.83
2.51, 2.51, -3.69, nan, -18.83, 2.17
2.51, 2.51, -3.31, nan, -8.07, 2.48
2.51, 2.51, -2.76, nan, 5.38, 2.54
2.51, 2.51, -2.42, nan, 2.69, 2.46
2.51, 2.51, -2.11, nan, 0.00, 2.49
2.51, 2.51, -1.70, nan, 0.00, 2.56
2.51, 2.51, -1.39, nan, 0.00, 2.48
2.51, 2.51, -1.20, nan, 0.00, 2.48
2.51, 2.51, -0.98, nan, -13.45, 2.67
2.51, 2.51, -0.86, nan, 0.00, 2.45
2.51, 2.51, -0.67, nan, 0.00, 3.47
2.51, 2.51, -0.62, nan, 0.00, 1.46
2.51, 2.51, -0.53, nan, 0.00, 2.44
2.51, 2.51, -0.48, nan, 0.00, 2.51
2.51, 2.51, -0.38, nan, 0.00, 2.49
2.51, 2.51, -0.34, nan, 0.00, 3.04
2.51, 2.51, -0.29, nan, 0.00, 2.00
2.51, 2.51, -0.26, nan, 0.00, 2.45
2.51, 2.51, -0.22, nan, 0.00, 2.50
2.51, 2.51, -0.19, nan, 0.00, 2.49
2.51, 2.51, -0.14, nan, 0.00, 2.50
2.51, 2.51, -0.14, nan, -5.38, 2.52
2.51, 2.51, -0.12, nan, 0.00, 2.47
2.51, 2.51, -0.10, nan, 0.00, 2.51
2.51, 2.51, -0.07, nan, 0.00, 2.55
2.51, 2.51, -0.07, nan, 0.00, 2.44
2.51, 2.51, -0.05, nan, 0.00, 2.49
2.51, 2.51, -0.05, nan, 0.00, 2.53
2.51, 2.51, -0.02, nan, -8.07, 2.47
2.51, 2.51, -0.02, nan, 0.00, 2.50
2.51, 2.51, -0.02, nan, 0.00, 2.50
2.51, 2.51, -0.02, nan, 0.00, 2.54
2.51, 2.51, -0.02, nan, 0.00, 2.47
2.51, 2.51, 0.00, nan, 0.00, 2.56
2.51, 2.51, 0.00, nan, 0.00, 2.43
2.51, 2.51, 0.00, nan, 0.00, 2.52
2.51, 2.51, 0.00, nan, 0.00, 2.54
2.51, 2.51, 0.00, nan, 0.00, 2.47
2.51, 2.51, 0.00, nan, 0.00, 2.49
2.51, 2.51, 0.00, nan, 0.00, 2.49
2.51, 2.51, 0.00, nan, 0.00, 2.50
2.51, 2.51, 0.00, nan, 0.00, 2.50
2.51, 2.51, 0.00, nan, 0.00, 2.52
2.51, 2.51, 0.00, nan, 0.00, 2.47
2.51, 2.51, 0.00, nan, 0.00, 2.52
2.51, 2.51, 0.00, nan, 0.00, 2.50
2.51, 2.51, 0.00, nan, 0.00, 2.49
2.51, 2.51, 0.00, nan, 0.00, 2.50
2.51, 2.51, 0.00, nan, 0.00, 2.55
2.51, 2.51, 0.00, nan, 0.00, 2.44
2.51, 2.51, 0.00, nan, 0.00, 2.53
2.51, 2.51, 0.00, nan, 0.00, 2.49
2.51, 2.51, 0.00, nan, 0.00, 2.49
2.51, 2.51, 0.00, nan, 0.00, 2.52
2.51, 2.51, 0.00, nan, 0.00, 2.48
2.51, 2.51, 0.00, nan, 0.00, 2.50
2.51, 2.51, 0.00, nan, 0.00, 2.48
2.51, 2.51, 0.00, nan, 0.00, 2.50
2.51, 2.51, 0.00, nan, 0.00, 2.50
2.51, 2.51, 0.00, nan, 0.00, 2.50
2.51, 2.51, 0.00, nan, 0.00, 2.50
2.51, 2.51, 0.00, nan, 0.00, 2.58
2.51, 2.51, 0.00, nan, 0.00, 2.42
2.51, 2.51, 0.00, nan, 0.00, 2.56
2.51, 2.51, 0.00, nan, 0.00, 2.51
2.51, 2.51, 0.00, nan, 0.00, 2.49
2.51, 2.51, 0.00, nan, 0.00, 2.44
2.51, 2.51, 0.00, nan, 0.00, 2.54
2.51, 2.51, 0.00, nan, 0.00, 2.45
2.51, 2.51, 0.00, nan, 0.00, 2.57
2.51, 2.51, 0.00, nan, 0.00, 2.46
