setpoint[rad],position[rad],velocity[rad/s],current[mA],delta_t[ms],acceleration[rad/s^2]
3.17,nan,nan,nan,34.22,nan
2.69,nan,nan,nan,34.19,nan
2.78,nan,nan,nan,34.18,nan
3.34,nan,nan,nan,34.33,nan
3.64,nan,nan,nan,34.29,nan
3.28,nan,nan,nan,35.23,nan
2.73,nan,nan,nan,34.31,nan
2.70,nan,nan,nan,34.28,nan
3.23,nan,nan,nan,34.34,nan
3.64,nan,nan,nan,34.27,nan
3.33,nan,nan,nan,34.25,nan
2.75,nan,nan,nan,34.25,nan
2.75,nan,nan,nan,34.27,nan
3.35,nan,nan,nan,34.29,nan
3.64,nan,nan,nan,34.30,nan
3.25,nan,nan,nan,34.30,nan
2.69,nan,nan,nan,34.27,nan
2.85,nan,nan,nan,34.25,nan
3.49,nan,nan,nan,34.25,nan
3.63,nan,nan,nan,34.29,nan
3.56,nan,nan,nan,34.27,nan
3.44,nan,nan,nan,34.42,nan
3.26,nan,nan,nan,34.34,nan
3.06,nan,nan,nan,34.35,nan
2.87,nan,nan,nan,34.21,nan
2.72,nan,nan,nan,34.25,nan
2.65,nan,nan,nan,34.29,nan
2.67,nan,nan,nan,34.30,nan
2.76,nan,nan,nan,34.30,nan
2.95,nan,nan,nan,34.25,nan
3.19,nan,nan,nan,34.25,nan
3.42,nan,nan,nan,34.32,nan
3.59,nan,nan,nan,34.45,nan
3.64,nan,nan,nan,34.38,nan
3.56,nan,nan,nan,34.27,nan
3.39,nan,nan,nan,34.37,nan
3.13,nan,nan,nan,34.41,nan
2.86,nan,nan,nan,34.35,nan
2.68,nan,nan,nan,34.24,nan
2.65,nan,nan,nan,34.17,nan
2.79,nan,nan,nan,34.16,nan
3.07,nan,nan,nan,34.21,nan
3.33,nan,nan,nan,34.15,nan
3.57,nan,nan,nan,34.26,nan
3.64,nan,nan,nan,34.30,nan
3.50,nan,nan,nan,34.30,nan
3.20,nan,nan,nan,34.25,nan
2.87,nan,nan,nan,34.31,nan
2.66,nan,nan,nan,34.31,nan
2.66,nan,nan,nan,34.33,nan
2.88,nan,nan,nan,34.30,nan
3.24,nan,nan,nan,34.27,nan
3.55,nan,nan,nan,34.31,nan
3.64,nan,nan,nan,34.31,nan
3.45,nan,nan,nan,34.34,nan
3.08,nan,nan,nan,34.31,nan
2.78,nan,nan,nan,34.34,nan
2.64,nan,nan,nan,34.34,nan
2.81,nan,nan,nan,34.35,nan
3.20,nan,nan,nan,34.27,nan
3.55,nan,nan,nan,34.30,nan
3.63,nan,nan,nan,34.23,nan
3.36,nan,nan,nan,34.25,nan
2.99,nan,nan,nan,34.30,nan
2.68,nan,nan,nan,34.24,nan
2.71,nan,nan,nan,34.21,nan
3.08,nan,nan,nan,34.23,nan
3.50,nan,nan,nan,34.29,nan
3.63,nan,nan,nan,34.30,nan
3.36,nan,nan,nan,34.22,nan
2.96,nan,nan,nan,34.25,nan
2.65,nan,nan,nan,34.25,nan
2.78,nan,nan,nan,34.25,nan
3.24,nan,nan,nan,34.23,nan
3.61,nan,nan,nan,34.20,nan
3.53,nan,nan,nan,34.21,nan
3.07,nan,nan,nan,34.23,nan
2.71,nan,nan,nan,34.21,nan
2.71,nan,nan,nan,34.31,nan
2.71,nan,nan,nan,34.20,nan
2.71,nan,nan,nan,34.30,nan
2.71,nan,nan,nan,34.22,nan
2.71,nan,nan,nan,34.21,nan
2.71,nan,nan,nan,34.24,nan
2.71,nan,nan,nan,34.24,nan
2.71,nan,nan,nan,34.18,nan
